Cidade,Total Area in City,Weighted Overlap Percentage
Santarém,0.019556803274501607,31.44118532802982
Almeirim,0.00824277412495574,14.156494154101917
Abaetetuba,0.00014663417091243186,0.0
Quatipuru,5.389503089556256e-05,0.0
Placas,0.005888969570943253,0.0
Ponta de Pedras,0.0012760095521434658,0.0
Portel,0.01898926836629969,0.0
Porto de Moz,0.0032746059786783145,0.0
Prainha,0.012153746345494472,0.0
Primavera,9.985571971633938e-05,0.0
Rio Maria,0.005963991672816081,0.0
Redenção,0.004385359380636659,0.0
Peixe-Boi,8.89396364038176e-05,0.0
Rondon do Pará,0.005764781026295806,0.0
Rurópolis,0.004155416974937919,0.0
Salinópolis,7.268338513762927e-06,0.0
Salvaterra,5.909623100924257e-05,0.0
Santa Bárbara do Pará,0.0004884562596528281,0.0
Piçarra,0.0025693103001345873,0.0
Pau D'Arco,0.000921806388801398,0.0
Santa Izabel do Pará,0.0005430325224478087,0.0
Óbidos,0.005381865973763758,0.0
Muaná,0.002718845346709857,0.0
Nova Esperança do Piriá,0.00033786396506919707,0.0
Nova Ipixuna,0.0010006418869601956,0.0
Nova Timboteua,0.00036950511845377745,0.0
Novo Progresso,0.014486035347599744,0.0
Novo Repartimento,0.013805480611908635,0.0
Oeiras do Pará,0.002568448656037218,0.0
Parauapebas,0.0004641107388086475,0.0
Oriximiná,0.003401393579243395,0.0
Ourém,0.0007612260831568577,0.0
Ourilândia do Norte,0.000693037952325374,0.0
Pacajá,0.015419458037322583,0.0
Palestina do Pará,0.0001553710499557893,0.0
Paragominas,0.008361727357110252,0.0
Santa Cruz do Arari,0.0,0.0
Santa Luzia do Pará,0.0011225595562637989,0.0
Mojuí dos Campos,0.0001677017838562994,0.0
Trairão,0.0027768119377039745,0.0
Soure,0.0026221411210586953,0.0
Tailândia,0.012005669589560975,0.0
Terra Alta,0.00018709546622171043,0.0
Terra Santa,0.0013121824918554607,0.0
Tomé-Açu,0.0037882720251745747,0.0
Tracuateua,7.098437646254263e-05,0.0
Tucumã,0.0024690097877883405,0.0
Santa Maria das Barreiras,0.006129439951522038,0.0
Tucuruí,0.0009224414294770264,0.0
Ulianópolis,0.0004009844268135828,0.0
Uruará,0.013267203357716053,0.0
Vigia,0.00021564336122011207,0.0
Viseu,0.003823758388685822,0.0
Vitória do Xingu,0.002248058163487282,0.0
Senador José Porfírio,0.00508561504887778,0.0
Sapucaia,0.0003249817001956838,0.0
São Sebastião da Boa Vista,8.398421061304106e-06,0.0
São Miguel do Guamá,0.0001888747893520824,0.0
São João do Araguaia,0.0009687346887586539,0.0
São João de Pirabas,2.3051712243193643e-05,0.0
São João da Ponta,2.1963909856021274e-05,0.0
São Geraldo do Araguaia,0.0012643250607930578,0.0
São Francisco do Pará,9.18082008631225e-05,0.0
São Félix do Xingu,0.051484944392640224,0.0
São Domingos do Capim,0.0008788436891577901,0.0
São Domingos do Araguaia,0.0013495328443430606,0.0
São Caetano de Odivelas,7.941305246420065e-06,0.0
Santo Antônio do Tauá,0.00022647274240230076,0.0
Santarém Novo,1.4077769623999165e-05,0.0
Santana do Araguaia,0.0045404862807108875,0.0
Santa Maria do Pará,0.00014993094093648012,0.0
Monte Alegre,0.009821484874211585,0.0
Moju,0.009099754504062923,0.0
Abel Figueiredo,0.0008960972440585328,0.0
Breves,0.0003219272300859764,0.0
Bom Jesus do Tocantins,0.0009994086191551206,0.0
Bonito,0.0002296969005582205,0.0
Bragança,0.0008749978607431496,0.0
Brasil Novo,0.0036453228837672377,0.0
Brejo Grande do Araguaia,0.0001301267361996816,0.0
Breu Branco,0.004288157246983339,0.0
Bujaru,0.00025641876355902385,0.0
Belterra,0.0008937072278210502,0.0
Cachoeira do Piriá,0.0004947904348285139,0.0
Cachoeira do Arari,0.00280564591512708,0.0
Cametá,6.095055493728234e-05,0.0
Canaã dos Carajás,0.002592396249541218,0.0
Capanema,0.0008081485377620816,0.0
Capitão Poço,0.002445139039249264,0.0
Benevides,2.7124777148490444e-05,0.0
Belém,3.598699924294022e-06,0.0
Chaves,0.003562525352708917,0.0
Ananindeua,3.193828399795474e-07,0.0
Acará,0.001968220263618096,0.0
Afuá,0.00040521292358538147,0.0
Água Azul do Norte,0.0037233133080946347,0.0
Alenquer,0.0038843613703637963,0.0
Altamira,0.03859872050096686,0.0
Anajás,0.007450652461468644,0.0
Anapu,0.005682821566486807,0.0
Barcarena,0.0008832372451038291,0.0
Augusto Corrêa,0.00010370172093496417,0.0
Aurora do Pará,0.004697428413719077,0.0
Aveiro,0.016901841907649956,0.0
Bagre,0.0,0.0
Baião,0.001213303423583795,0.0
Bannach,0.0011241327895449738,0.0
Castanhal,0.00036037450539457726,0.0
Colares,0.0011000045121974402,0.0
Mocajuba,0.0007646970181655327,0.0
Mãe do Rio,0.0003834865333628276,0.0
Itaituba,0.033767956100985944,0.0
Itupiranga,0.007287192311677752,0.0
Jacareacanga,0.014583435875370771,0.0
Jacundá,0.001130349767018367,0.0
Juruti,0.005513431482158242,0.0
Limoeiro do Ajuru,0.0,0.0
Magalhães Barata,0.00022922177661148738,0.0
Ipixuna do Pará,0.002593378349344748,0.0
Marabá,0.012904529315787039,0.0
Maracanã,0.00017676242378766648,0.0
Marapanim,0.0001918984897222529,0.0
Marituba,2.7617708538159786e-07,0.0
Medicilândia,0.006228975216562486,0.0
Melgaço,0.0,0.0
Irituia,0.001540419290136122,0.0
Inhangapi,0.00015260373801277547,0.0
Conceição do Araguaia,0.007810549016644167,0.0
Dom Eliseu,0.0029150599974648904,0.0
Concórdia do Pará,0.0007342889027769545,0.0
Cumaru do Norte,0.005287910677429246,0.0
Curionópolis,0.002330842977643841,0.0
Curralinho,0.0023085534598985893,0.0
Curuá,0.0014477844104547337,0.0
Curuçá,0.00035649540253543437,0.0
Eldorado do Carajás,0.006293888876158393,0.0
Igarapé-Miri,0.000348159937161139,0.0
Faro,0.0012669001737937158,0.0
Floresta do Araguaia,0.0017004296182487686,0.0
Garrafão do Norte,0.00246020694294851,0.0
Goianésia do Pará,0.0022989405639992334,0.0
Gurupá,0.00028280496406732353,0.0
Igarapé-Açu,0.0005499417943972059,0.0
Xinguara,0.0015550975060568478,0.0
