,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.,Área CAR sob Quil.,PC CAR sob Quil.,Área CAR sob TIs,PC CAR sob TIs,Área CAR sob UCs,PC CAR sob UCs,Contested Area (ha),Contested Area (%)
PA-1500503-1B415D59863B470E9EFB4BE2F150E6D7,PA-1500503-1B415D59863B470E9EFB4BE2F150E6D7,Aguardando analise,Almeirim,9087.370462141971,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1500958-D1D6D17578FD40CEA06B42C266271E43,PA-1500958-D1D6D17578FD40CEA06B42C266271E43,Aguardando analise,Aurora do Para,40.61358233054401,40.613581505065895,99.99999796748263,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1506807-5192E004BC54471C814813F0A396613C,PA-1506807-5192E004BC54471C814813F0A396613C,Aguardando analise,Santarem,6776.674283432851,0.0,0.0,0,0,1.7823131767843652,0.02630070595456598,6776.6742537232785,99.99999956159068,0.0,0.0
PA-1507607-EA2B29DB07714B218775479DCEFBC906,PA-1507607-EA2B29DB07714B218775479DCEFBC906,Analisado sem pendencias,Sao Miguel do Guama,0.13965286009689815,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1506708-459EEBF6FB804F738EA5FF9F4786FAED,PA-1506708-459EEBF6FB804F738EA5FF9F4786FAED,Aguardando analise,Santana do Araguaia,2.5142531759496642,2.5142531759496642,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1508159-8C75F53C378C474FA7746472F181A135,PA-1508159-8C75F53C378C474FA7746472F181A135,Aguardando analise,Uruara,1.0603607014582748,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1503705-988B49A155F04AE58428AD06A850283D,PA-1503705-988B49A155F04AE58428AD06A850283D,Aguardando analise,Itupiranga,0.5037945076013687,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1505700-7637E7A1D2684F6082CD706BAB21F25E,PA-1505700-7637E7A1D2684F6082CD706BAB21F25E,"Analisado, aguardando atendimento a notificacao",Ponta de Pedras,0.078579412537644,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1503077-F14E1854E2C74646BF9EFDC645AB4499,PA-1503077-F14E1854E2C74646BF9EFDC645AB4499,Cancelado por decisao administrativa,Garrafao do Norte,16.837108340304738,16.811063200120458,99.84531108514676,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PA-1507953-A4664DE0B2994712B882C26C32C5BCC9,PA-1507953-A4664DE0B2994712B882C26C32C5BCC9,"Analisado, aguardando atendimento a notificacao",Tailandia,130.5779465533806,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
