,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
AM0013000,Assen.,PA VILA AMAZÔNIA (AM0013000),AM0013000,854.2707865775992,26.741731377313517,9,3.130357703609052
AP0053000,Assen.,PAE ILHA DE ARUAS (AP0053000),AP0053000,55.53439452511982,54.84226041111548,2,98.75368387478994
AT0006000,Assen.,PA SURUBIM (AT0006000),AT0006000,2031.6565224615645,1691.052655976642,256,83.2351648657498
AT0009000,Assen.,PA ASSURINI (AT0009000),AT0009000,361.42124352142224,319.66846087417053,30,88.44761247555806
AT0010000,Assen.,PA RIO DO PEIXE (AT0010000),AT0010000,257.2400622713015,236.57677805287625,23,91.96731487468213
AT0019000,Assen.,PA UIRAPURU (AT0019000),AT0019000,219.96672294200326,137.3849026185462,19,62.45713023363506
AT0020000,Assen.,PA TUTUÍ SUL (AT0020000),AT0020000,203.5389228056835,203.40054961855765,23,99.9320163508687
AT0021000,Assen.,PA GROTÃO DA ONÇA (AT0021000),AT0021000,158.40404048558884,158.40404048558923,27,100.00000000000024
AT0022000,Assen.,PA RIO TRAIRÃO (AT0022000),AT0022000,160.56231754923505,147.8083662876371,19,92.05669707795103
AT0023000,Assen.,PA CANOÉ (AT0023000),AT0023000,364.9553443889495,174.80077522505513,80,47.89648320337022
AT0024000,Assen.,PA ARARAQUARA (AT0024000),AT0024000,137.19683769574118,100.00204865358997,28,72.88947058339829
AT0026000,Assen.,PA PILÃO POENTE (AT0026000),AT0026000,199.94547111100889,164.65246924031064,39,82.34868653208768
AT0028000,Assen.,PA BRASIL NOVO (AT0028000),AT0028000,71.20953389212383,66.3617551914691,7,93.19223362984135
AT0036000,Assen.,PA BOM JARDIM (AT0036000),AT0036000,951.4450447016544,915.4070803454769,201,96.2122915499047
AT0037000,Assen.,PA RIO ARATAÚ (AT0037000),AT0037000,692.1282996993826,606.199611888772,144,87.58486138365781
AT0039000,Assen.,PA PILÃO POENTE III (AT0039000),AT0039000,316.05209310994366,233.19096974459268,51,73.78244752312827
AT0040000,Assen.,PA PILÃO POENTE II (AT0040000),AT0040000,839.8940635930354,744.2823445837537,132,88.6162168356973
AT0041000,Assen.,PA ALTO PARÁ (AT0041000),AT0041000,450.8066777150958,416.88291277352494,26,92.47487523620707
AT0044000,Assen.,PA PLACAS (AT0044000),AT0044000,287.2335409714631,285.74044758933917,25,99.48018139626936
AT0045000,Assen.,PA RIO DAS PEDRAS (AT0045000),AT0045000,241.86406669647118,240.36435495967052,15,99.37993611151724
AT0046000,Assen.,PA CURUÁ-UNA (AT0046000),AT0046000,172.45327969272512,171.14045265197117,26,99.23873466303851
AT0048000,Assen.,PA IGARAPÉ FLORES (AT0048000),AT0048000,221.35866336567986,218.7604440430112,43,98.82624005622203
AT0049000,Assen.,PA PENETECAUA (AT0049000),AT0049000,227.5538370162658,225.71403842150764,37,99.19148865214405
AT0051000,Assen.,PA LARANJAL (AT0051000),AT0051000,127.40491872813001,126.46211190171208,20,99.25999181520629
AT0058000,Assen.,PA RESSACA (AT0058000),AT0058000,410.67400511996215,410.6740051196445,37,99.99999999992265
AT0059000,Assen.,PA MORRO DOS ARARAS (AT0059000),AT0059000,161.2099865000634,161.20998650006396,28,100.00000000000036
AT0060000,Assen.,PA ITAPUAMA (AT0060000),AT0060000,636.0722884203428,636.0098856789662,71,99.99018936329837
AT0061000,Assen.,PA JURAUÁ (AT0061000),AT0061000,92.09964834768415,76.16981824048024,20,82.70370148747212
AT0062000,Assen.,PA ARAPARI (AT0062000),AT0062000,89.11599752983051,69.76350723690133,11,78.28393236977327
AT0064000,Assen.,PA TUTUÍ NORTE (AT0064000),AT0064000,245.80613384578254,244.83401919518738,33,99.60451977524488
AT0067000,Assen.,PDS ANAPU I (AT0067000),AT0067000,204.4749854639766,204.47498546397492,5,99.99999999999918
AT0070000,Assen.,PDS VIROLA JATOBÁ (AT0070000),AT0070000,416.68599851532815,416.6859968568728,59,99.99999960198919
AT0101000,Assen.,PDS ADEMIR FREDERICCE (AT0101000),AT0101000,2343.9116915990503,2338.237723334996,140,99.75792738760634
AT0118000,Assen.,PDS BRASÍLIA (AT0118000),AT0118000,199.8203529248161,199.03908400515155,39,99.60901434301915
AT0126000,Assen.,PDS ÁGUA PRETA (AT0126000),AT0126000,248.86757774581412,247.5053770565328,31,99.45264035531675
AT0127000,Assen.,PDS CASTANHEIRA (AT0127000),AT0127000,258.4291443564946,252.37018388932657,50,97.65546549238661
AT0128000,Assen.,PA RENASCER (AT0128000),AT0128000,85.88034521156513,85.23473855324544,18,99.24824864556699
AT0129000,Assen.,PA CUPUZAL (AT0129000),AT0129000,113.2042573197838,113.08775143061445,26,99.89708347377763
AT0130000,Assen.,PA TERRA PARA PAZ (AT0130000),AT0130000,639.5349042951927,635.4402586580461,72,99.35974633915265
AT0171000,Assen.,PA ANAPUZINHO (AT0171000),AT0171000,181.61971164440882,181.56499504675153,36,99.9698729850621
AT0172000,Assen.,PDS SANTA CLARA (AT0172000),AT0172000,241.90304128430145,241.8715036418863,32,99.98696269288402
AT0177000,Assen.,PDS HORIZONTE NOVO (AT0177000),AT0177000,222.73233257798168,221.25112349449924,51,99.33498245794024
AT0181000,Assen.,PA MACANÃ I (AT0181000),AT0181000,261.5002554730082,233.84886121455384,25,89.42586338646673
AT0182000,Assen.,PA MACANÃ II (AT0182000),AT0182000,314.63634733003914,287.01015198967013,17,91.21964274795296
AT0183000,Assen.,PDS ITATÁ (AT0183000),AT0183000,524.7849244147257,524.7470217955159,21,99.99277749465612
AT0208000,Assen.,PDS ARTHUR FALEIRO (AT0208000),AT0208000,227.37373567713053,225.83262308252418,35,99.32221169256123
AT0209000,Assen.,PDS AVELINO RIBEIRO (AT0209000),AT0209000,216.7828360245525,216.6970816821706,30,99.96044228226067
