,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Abaetetuba,1612.6271115551745,2802,1531.6301834885385,94.97733062490033,344.75515254051396,504.7016584450131,46,32.95192690023074,145.59135242579697,363.262425725798,16,23.71737183308887,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Abel Figueiredo,616.84056419153,668,659.8555091180556,106.97342999530255,0.6768686615870232,0.6935694289620946,2,0.10510928822722114,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Acará,4350.528613560693,8455,5516.182754469889,126.79339097496857,459.6789259542725,746.954425647398,42,13.541147182662208,47.12707411214659,77.09554872947997,15,1.3976249910684646,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Afuá,8345.182218918437,837,8681.058632654811,104.02479424565405,4768.324692884069,7223.411383451898,74,83.20887681002633,0.0,0.0,0,0.0,0.0,0.0,0,0.0,654.015199274421,1359.4906771064825,8,15.66042500845001
Água Azul do Norte,7168.249621775204,3151,6739.427924782459,94.0177627786552,417.8499296533223,737.8136048296999,98,10.94771860555977,0.0,0.0,0,0.0,1583.2194217436988,0.0,0,0.0,33.639169459571676,35.964437487178074,2,0.5336422896508528
Alenquer,23667.197519228175,5125,19697.21068856005,83.22578400994563,3536.86374458568,7380.146785635819,334,37.46797910793601,78.40601607747375,152.25457284908475,2,0.7729752971445482,833.1681366952909,0.0,0,0.0,1435.4718858113579,336.5469550337821,11,1.7086020978048702
Almeirim,73027.6226761098,6867,39189.78926929178,53.664336634789976,75.93641834706801,213.69230842601274,21,0.5452754720308157,0.0,0.0,0,0.0,10592.9437360223,0.0,0,0.0,0.0,0.0,0,0.0
Altamira,160727.2652030692,6582,78465.34993651319,48.818941725523025,3455.28572338572,5208.4031124157345,421,6.63783837914428,0.0,0.0,0,0.0,40573.57276793014,1749.431227873471,321,2.229558944539146,66756.23868173933,60646.53238651431,986,77.29084549496535
Anajás,6919.848201319944,1491,10569.802865638916,152.74616665178803,1202.9238696998134,1810.2590345256415,37,17.12670574406419,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12.997222277321978,21.900312021303055,13,0.20719697708363305
Ananindeua,190.7908397675526,226,154.57126452988993,81.01608269988732,52.025878895876815,103.87198884956226,9,67.20006410342604,5.640380477703258,12.989403129176361,4,8.403504473281036,0.0,0.0,0,0.0,24.959154149899387,29.46652862141061,11,19.063393646309066
Anapu,11933.746193827494,4355,10755.624681117755,90.12781490761803,2405.5751136907293,4819.51850674296,408,44.80928490563601,0.0,0.0,0,0.0,5245.65866723682,14.282150606132761,2,0.1327877369243468,0.0,0.0,0,0.0
Augusto Corrêa,1100.642231135761,1158,325.8516969538964,29.605596417797603,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Aurora do Pará,1814.614565266553,2193,2418.520993853025,133.280148861682,516.0118626439728,710.8914410476256,64,29.39364358855869,0.0,0.0,0,0.0,7.131266442972958,0.0,0,0.0,0.0,0.0,0,0.0
Aveiro,17122.471647463717,2647,14424.658289450215,84.24401912551498,1893.300263996889,2526.150020174728,158,17.512720020704286,0.0,0.0,0,0.0,14.147200965006544,14.147200965006544,1,0.09807650677835053,3522.865181775141,3702.201227495881,16,25.66578114507964
Bagre,4404.550731728055,505,5091.931882793434,115.6061581062933,322.7063903638306,680.5164725186352,21,13.364602830179727,76.62908559672516,67.15655335216097,7,1.3188816130690044,0.0,0.0,0,0.0,0.4770950686275027,0.49781755622826385,2,0.009776594968021472
