,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
75346,PA-1503101-7B9AFD8C23AA4DE08C2ADA63DDB6AF81,Aguardando analise,Gurupa,2988.195558994318,2983.624333785412,99.84702389389652
216885,PA-1504455-36032ADC7E88456BAE98A3AD2F631644,Aguardando analise,Medicilandia,1443.8860514135467,2826.16993521172,195.7335852399802
74108,PA-1506807-18D6A81C7E27418C8935F50B7DE9C3B3,Aguardando analise,Santarem,2822.312301274192,2822.3007747071915,99.99959159137016
247689,PA-1500404-B6602B7F4CCE4533B66B95D2E1326CC2,Aguardando analise,Alenquer,2612.63969354329,2560.0021200682304,97.98527238160146
249094,PA-1504455-25AA6115467C4FB7899ED0BB5A1DE3C6,Aguardando analise,Medicilandia,2332.8959425493263,2321.3101294251337,99.50337205732666
249091,PA-1500305-3AEDDBE4663A48AD80E3D109EBDF74AC,Aguardando analise,Afua,1996.8051067080944,1985.2776906816912,99.42270700391953
244035,PA-1504505-49AB36CACFA04E0BAD994D377FC23427,Aguardando analise,Melgaco,1767.7599232200953,1767.7599182036995,99.99999971622869
62448,PA-1505064-E6E065D99EFD47869F48CD8A5635DCF9,Aguardando analise,Novo Repartimento,1643.101039882631,1680.9385019894382,102.30280799466296
247701,PA-1505304-85DBA2A465124B1896E3A5D6F770B3AA,Aguardando analise,Oriximina,1498.8597218121351,1498.8562625812408,99.9997692091632
332644,PA-1505304-489AB2D4CD924BF49D25E45FC10A8CBF,Aguardando analise,Oriximina,2261.571705547683,1422.8350212217076,62.91354891518422
