,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
227488,PA-1505809-10357640561F419E83E67F857F000B3E,Analisado sem pendencias,Portel,651.1200675097062,650.756800655046,99.94420892969102
160984,PA-1505700-C44B8E2E887541A0B94D4510AAAD5172,Analisado sem pendencias,Ponta de Pedras,46.90811362256482,45.41281901569078,96.81229004665252
110376,PA-1505809-35B9DB0A109B452683AAEC9CC0C9583B,Analisado sem pendencias,Portel,42.68378424961904,42.68378424961903,100.0
320194,PA-1505809-868C2C233EC242ADABE7BF8DFC28A030,Analisado sem pendencias,Portel,42.45685300205428,42.4568530020543,100.00000000000006
161058,PA-1500107-461FE3813FDB4B3AA84C6932F2C2C7D9,Analisado sem pendencias,Abaetetuba,32.22259906769251,32.22259906769182,99.99999999999784
334587,PA-1503101-C98EF49B561C47428A93F25ACB860F99,Analisado sem pendencias,Gurupa,29.168567608531298,29.16856760853079,99.99999999999824
312049,PA-1500701-2F08BA64C17A4CB4B247ECB34EEE37BA,Analisado sem pendencias,Anajas,25.69524413926857,25.695244139268567,99.99999999999996
264190,PA-1504505-68DED4B5CE4C44C7B700E6F217FA6B61,Analisado sem pendencias,Melgaco,23.089363874161304,23.088279963878424,99.99530558620503
250865,PA-1505809-D5B2027A8E86416488791D331CC67936,Analisado sem pendencias,Portel,21.81022990160757,21.81022990160757,100.0
250872,PA-1505809-F88565591CBF4002A9D6B878CED9ED05,Analisado sem pendencias,Portel,21.56446557683204,21.564465576832035,99.99999999999996
