,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
137110,PA-1505437-78BA4478D55C4B1A9D2DCB5074EFB2E6,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Ourilandia do Norte,153.9168213831571,152.59143046054822,99.13889144104044
253553,PA-1502855-505256A8FC9F498184E2E5371F69A67A,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Curua,44.864803061526935,28.526437604499264,63.58311116484458
302436,PA-1505809-7BFD0BE91E5547ACA856D1B4BEFA72C1,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Portel,24.024024904536315,23.77018434268666,98.943388700027
254586,PA-1503705-343601D06CC84421BCC027602CB9F9D4,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Itupiranga,29.168783450370253,22.40842006429342,76.82329330745186
150205,PA-1507300-47E4751B36C548F796D5A0AF314F2EA3,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,21.19553126945894,21.195531269458925,99.99999999999991
277270,PA-1506161-F063D64930C0445DB84B42A38ADE1B43,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Rio Maria,39.86706248247454,19.836475779298667,49.75655226170409
321281,PA-1507300-399F1D60778C44F1A192F5D6E0B5D120,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,18.517799771855604,18.517799771855604,100.0
257100,PA-1507300-7C229A80984745739B843AEC60765DFE,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,17.553281705638895,17.55070532873451,99.98532253428397
302019,PA-1505809-F128473F799243878E6BD02A5649AE9C,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Portel,15.812372939447584,15.81237293944758,100.0
158339,PA-1505809-105D6D0C4AAB4D9888629D4291ADAA80,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Portel,24.33626426405009,15.44693954550104,63.47292821075871
