,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
77025,PA-1505809-2A95C4FF7D9549A7B5EC2D8522C2FAF8,"Analisado, em conformidade com a Lei n 12.651/2012",Portel,21.133219838061216,21.133219838061216,100.0
77078,PA-1505809-6B46266FA69D4F30A0DC755969D81EDD,"Analisado, em conformidade com a Lei n 12.651/2012",Portel,21.125746096582624,21.125746096582628,100.00000000000004
222295,PA-1505106-A47CA5EA4D3D46ED85AEB098472564A7,"Analisado, em conformidade com a Lei n 12.651/2012",Obidos,8.911642908420932,4.678482807774226,52.49854438571994
240464,PA-1503606-F55A530AC94B4E6EA8E9C5C99E6D15E7,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,5.344684792772045,3.1590307155212445,59.106024733084375
228820,PA-1508159-B9AEF73628B74FA4B2EFDE8A100235B6,"Analisado, em conformidade com a Lei n 12.651/2012",Uruara,5.15784046635668,2.8515214457571108,55.28518115976796
232911,PA-1506005-EBE6308147F04FFF9E774369A84933A0,"Analisado, em conformidade com a Lei n 12.651/2012",Prainha,14.541622530397856,0.0,0.0
237114,PA-1506005-AF44DE85970C414C94E6D4BF2D7006A5,"Analisado, em conformidade com a Lei n 12.651/2012",Prainha,14.461151690747643,0.0,0.0
237094,PA-1503606-97BF15352E8F4D9D8A0EBCEA2242F54F,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.8240458226228256,0.0,0.0
237092,PA-1503606-425DC872CD214D7E88E4D2F6705C8980,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.7959461792785673,0.0,0.0
237091,PA-1503606-43DDB4377AEF4F5D8D86650EA466C389,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.5758321287318248,0.0,0.0
