,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
33559,PA-1506807-0453989B639F49D19404CFBA83D777B0,Cancelado por decisao judicial,Santarem,2495.412965430806,2492.8321799451296,99.89657882196542
206679,PA-1500404-FA9C7024DFF14365A7BA1901B7B020A6,Cancelado por decisao judicial,Alenquer,1322.6206498030865,1302.032192961291,98.443358884132
33599,PA-1506195-05E279FE2590444D86E70A4902BA3213,Cancelado por decisao judicial,Ruropolis,647.447758600101,647.0851993382038,99.94400177356684
33535,PA-1506005-F5CCD9C6F4764315A7F56A38E562127C,Cancelado por decisao judicial,Prainha,496.7835992723227,503.7950031989218,101.41135978258323
206743,PA-1506005-5B26B659705841EFA6509493EC132FF1,Cancelado por decisao judicial,Prainha,455.300566820608,455.30044493523206,99.9999732296894
33498,PA-1506807-AE2CCCB0D80D48578A336AD4F9DA984C,Cancelado por decisao judicial,Santarem,434.9115058847335,432.8549908643636,99.52714173054898
206694,PA-1506807-D740EFE24FE44D8EB39AC3687B1F1AEA,Cancelado por decisao judicial,Santarem,366.812568687144,363.10317853749615,98.98875053193404
206669,PA-1507979-6E86AD88875C401D82B50CEFF6D89A28,Cancelado por decisao judicial,Terra Santa,320.415807070862,317.93826757205375,99.22677363471637
206628,PA-1503606-B34710F7815C48A38E9BDF7B9989D04F,Cancelado por decisao judicial,Itaituba,316.35714299262764,315.6177886464187,99.76629124311374
33530,PA-1506807-6A709D18749344D99EFB8653DA0BDA9B,Cancelado por decisao judicial,Santarem,308.891353830429,252.74962329799828,81.82476465066398
