,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
37275,PA-1505809-8B7149D56EB446B1A96F1BA968365C7A,Cancelado por duplicidade,Portel,4516.680465809103,4484.544563688753,99.28850618582352
41414,PA-1506807-A5F4BEA3F5B2408EAF7F26EA8A5E9F43,Cancelado por duplicidade,Santarem,2822.300774468575,2822.30074574031,99.99999898209768
41085,PA-1506807-D8BAE5A904304C9B94B824BE7F5015C2,Cancelado por duplicidade,Santarem,1350.4228381335954,1352.815790547044,100.1772002328364
41593,PA-1506807-B93530F2234F409A80AA38FC0FBF5BAF,Cancelado por duplicidade,Santarem,903.109378233446,882.3176365912634,97.69776041049944
210377,PA-1500859-0F6236AA97404519AD7CA25DDC559E5B,Cancelado por duplicidade,Anapu,758.1764702799246,699.6916084342603,92.28611489036696
33649,PA-1505536-6369B0556CED43D389A643F1E2CBCFA7,Cancelado por duplicidade,Parauapebas,118.0239190436654,117.4562856655055,99.51905225418766
34268,PA-1506583-DB93818185CD4669AB00ED2AEED859D8,Cancelado por duplicidade,Santa Maria das Barreiras,98.51277883187493,85.12059878478414,86.40564177978746
216921,PA-1505064-1F8D0136F5E248DBA825F324A29BBD11,Cancelado por duplicidade,Novo Repartimento,94.8154671570788,19.976554183398218,21.068877032798326
40916,PA-1503903-AB3F3BE91BB64BA89A8AFA510B9B0B14,Cancelado por duplicidade,Juruti,959.6302153130524,5.364726521884242,0.5590410177043197
19207,PA-1500404-8AF77E7F49B74FEAA4D069646DCA1FA4,Cancelado por duplicidade,Alenquer,0.260381794324401,0.0,0.0
