,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
73908,PA-1500602-BB8F2179D36040A8A03945617DB3CF84,Em analise,Altamira,1508.9334174702828,1508.931297541487,99.99985950812864
243896,PA-1500305-631CA45B385646D78CA132E21EFDA43E,Em analise,Afua,872.664293491666,860.0862007002802,98.55865618827386
75080,PA-1505486-DF8906532D2F422B804ADA70A5B7AB84,Em analise,Pacaja,960.586491052785,856.5917080702461,89.17382412191091
70710,PA-1505486-CCE41745F7C24513869EB686BE1FD83A,Em analise,Pacaja,643.7236842063741,641.475681067701,99.6507813532689
74165,PA-1500602-972C56792EC24010AFB66EB65DE8447E,Em analise,Altamira,636.2923096656959,636.0098856789658,99.95561411281577
249092,PA-1505437-0362C6B56AF84AA5BFCC8916A1F119BF,Em analise,Ourilandia do Norte,684.2415325353716,609.0330069707196,89.00848282535902
249093,PA-1505486-135A680C39B94CD792D3916BD58CD4ED,Em analise,Pacaja,696.6462097464582,538.5193203726321,77.30169386389458
70290,PA-1501808-6EEA8FDD1A9B41DF88F0D39E31F5D618,Em analise,Breves,498.75529824167785,483.9818849332943,97.03794358466644
248905,PA-1502707-CFB1DDF583874FBA903F0164E4236769,Em analise,Conceicao do Araguaia,449.3988368287102,444.8990585554348,98.99871163329458
210266,PA-1503606-A0585B9375B04CE9820BB4F3DC3BCC14,Em analise,Itaituba,213.648690222978,213.6486881330418,99.99999902178844
