,CAR,cond,cidade,Área_Total,Área CAR sob Quil.,PC CAR sob Quil.
41577,PA-1505304-860A948C87C342B79272D95D66261CB3,"Analisado, aguardando atendimento a notificacao",Oriximina,2286.808756722302,2257.3069474001863,98.70991357561527
102384,PA-1505304-EDAB44E063444A65B3CBE87C9DFB8DEA,Analisado sem pendencias,Oriximina,2253.0878929549194,2253.087892954844,99.99999999999665
332644,PA-1505304-489AB2D4CD924BF49D25E45FC10A8CBF,Aguardando analise,Oriximina,2261.571705547683,2231.4346757418466,98.66742983510495
51098,PA-1505304-47553E5535F04F3183A7426FBBD99294,Cancelado por decisao administrativa,Oriximina,2156.3680818547205,2137.368453444672,99.11890606386147
232722,PA-1505304-BB9F3EB9FBCD498BB2F07BB62EE58B4E,Aguardando analise,Oriximina,4410.963340324744,1488.164571304124,33.73785852399676
247701,PA-1505304-85DBA2A465124B1896E3A5D6F770B3AA,Aguardando analise,Oriximina,1498.8597218121351,1464.4624877658437,97.70510651892728
316236,PA-1505304-0F6B8466274040F18AC879C74E4043B1,Aguardando analise,Oriximina,967.6379758537638,949.4486966198403,98.12023921261722
41576,PA-1505304-358A867DCB28483DA7C7254D976512F3,"Analisado, aguardando atendimento a notificacao",Oriximina,932.9636676599508,929.3162423992926,99.60904959248772
73907,PA-1505304-77E43876057144E0BF1C459FD625553B,Aguardando analise,Oriximina,909.2949689830292,891.1048909796318,97.99954045454122
41565,PA-1503101-60F33099543041B596D74C75F84AD4EA,"Analisado, aguardando atendimento a notificacao",Gurupa,851.1293081730109,851.1014401480066,99.99672575897262
