,CAR,cond,cidade,Área_Total,Área CAR sob Quil.,PC CAR sob Quil.
332644,PA-1505304-489AB2D4CD924BF49D25E45FC10A8CBF,Aguardando analise,Oriximina,2261.571705547683,2231.4346757418466,98.66742983510495
232722,PA-1505304-BB9F3EB9FBCD498BB2F07BB62EE58B4E,Aguardando analise,Oriximina,4410.963340324744,1488.164571304124,33.73785852399676
247701,PA-1505304-85DBA2A465124B1896E3A5D6F770B3AA,Aguardando analise,Oriximina,1498.8597218121351,1464.4624877658437,97.70510651892728
316236,PA-1505304-0F6B8466274040F18AC879C74E4043B1,Aguardando analise,Oriximina,967.6379758537638,949.4486966198403,98.12023921261722
73907,PA-1505304-77E43876057144E0BF1C459FD625553B,Aguardando analise,Oriximina,909.2949689830292,891.1048909796318,97.99954045454122
137411,PA-1503101-662A09F896D048A2A902569F281CEAFF,Aguardando analise,Gurupa,851.1341361194059,851.1009995881054,99.99610677919094
73674,PA-1505106-3733861ECB104C6A99C7BC2F84D368A3,Aguardando analise,Obidos,174.77177760257143,174.770505980694,99.99927241005678
339621,PA-1505106-D50781EDBB9740F0A846F96A32ED5410,Aguardando analise,Obidos,187.00605461025015,173.49836872964283,92.77687243401851
41560,PA-1504604-FD42F8E19D5D4DE88C84C9F263BEC971,Aguardando analise,Mocajuba,171.23123499321824,171.08564025942255,99.91497186024417
127186,PA-1505304-D52A5B9D7F6A45EC9A94DFBC30314598,Aguardando analise,Oriximina,231.61017575533552,124.42792631206852,53.72299636934329
