,CAR,cond,cidade,Área_Total,Área CAR sob Quil.,PC CAR sob Quil.
102384,PA-1505304-EDAB44E063444A65B3CBE87C9DFB8DEA,Analisado sem pendencias,Oriximina,2253.0878929549194,2253.087892954844,99.99999999999665
3,PA-1507607-EA2B29DB07714B218775479DCEFBC906,Analisado sem pendencias,Sao Miguel do Guama,0.1396528600968981,0.0,0.0
231176,PA-1502202-1432C74200DC48D1B2F4AFFEC3D771BD,Analisado sem pendencias,Capanema,0.0113098349657638,0.0,0.0
231330,PA-1502202-3A9B38A4FEE44E2AABB67D7FED4EF1A4,Analisado sem pendencias,Capanema,0.0541460672919324,0.0,0.0
231323,PA-1504802-97D65527290F4E0FBFC7C5E383DDD1B7,Analisado sem pendencias,Monte Alegre,0.1179079560623952,0.0,0.0
231307,PA-1503705-AAD255D9C80F41F684067ED8C770F7D7,Analisado sem pendencias,Itupiranga,0.5962823810855622,0.0,0.0
231299,PA-1506500-DD14E38EC73E479F852740AB7F4D2EE1,Analisado sem pendencias,Santa Izabel do Para,0.0104651043793854,0.0,0.0
231266,PA-1503200-3FDA1146C0C045EF9BEC317523A6BFEF,Analisado sem pendencias,Igarape-Acu,0.069764366121802,0.0,0.0
231265,PA-1503200-FCD07F67B4F546A68E67714CA1A88C9D,Analisado sem pendencias,Igarape-Acu,0.0117341516408942,0.0,0.0
231249,PA-1504604-DC9532578A914B12BCAD578F4517E0DA,Analisado sem pendencias,Mocajuba,0.5680553488768907,0.0,0.0
