,CAR,cond,cidade,Área_Total,Área CAR sob Quil.,PC CAR sob Quil.
96874,PA-1501105-59A1F361F4A64ADEA8DA767540F6FE63,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Bagre,60.63055169202056,13.13633560371344,21.66619837213568
15,PA-1506138-56E450785DD84B9FA5DEC26DA6E74AFD,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Redencao,1.282952954913234,0.0,0.0
292969,PA-1505502-32CA62C51F9946DF86D770E79AEF4C4F,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Paragominas,43.54261288066392,0.0,0.0
292986,PA-1505031-D9C6B360E73E4B87A403DE4BA2D910B6,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Novo Progresso,5.00069824319649,0.0,0.0
292999,PA-1501600-33D244A2F16B4BC480826834A079A2C2,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Bonito,1.5634348594517815,0.0,0.0
293022,PA-1500602-D3E72B5189574ED3B35BC57760768FDF,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Altamira,8.626376901466081,0.0,0.0
293081,PA-1503044-558CBFF62A844EC0B5B29DF62E38C73D,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Floresta do Araguaia,1.193355704218671,0.0,0.0
293111,PA-1505064-2F16D8612B03459382002BAC01E1905F,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Novo Repartimento,1.9433331483841008,0.0,0.0
293137,PA-1505908-5A5E588C41CD4FC08F292F7C5AD16B48,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Porto de Moz,1.568162626776744,0.0,0.0
293162,PA-1507151-49D8FC380C474019881627A7B4E39A49,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Domingos do Araguaia,0.997746488561,0.0,0.0
