,CAR,cond,cidade,Área_Total,Área CAR sob Quil.,PC CAR sob Quil.
128982,PA-1506807-D6E5212F90744B09ACEB951890119468,Em analise,Santarem,107.4605002752502,106.90031901672604,99.47870961228608
214817,PA-1505403-5CCC37A57DD54887B4469F56E9D31FAF,Em analise,Ourem,6.569589955058859,6.545136367044464,99.62777603805294
237503,PA-1505106-1CDDC19F0E494216887DF1E307A53AD0,Em analise,Obidos,1.827322068307356,1.8195866393796665,99.57667949936956
248355,PA-1505106-5C151729C67C4FFDADCEF73EBC92F10A,Em analise,Obidos,106.05329760681713,1.4808370642069535,1.3963140209906737
234568,PA-1506203-61410B8822E94B219DE147A47C9213B4,Em analise,Salinopolis,0.4122672265155848,0.0,0.0
234562,PA-1504802-E6C49CDCFF3240D8B330C1F0AA8F9EA8,Em analise,Monte Alegre,0.4477579501026527,0.0,0.0
234549,PA-1506559-7FEE19B3A5FB47EABFE38088F4702747,Em analise,Santa Luzia do Para,0.032506145329372,0.0,0.0
234544,PA-1504208-A7A73C6E5BC54225AF05EF2528374A77,Em analise,Maraba,25.9355270447157,0.0,0.0
234543,PA-1508209-BB9302F89817480D8AFB8AE63B950DFC,Em analise,Vigia,0.0986881720870107,0.0,0.0
234515,PA-1501600-B5B199073E754A65821B8EF79CF6EE65,Em analise,Bonito,0.2180854342604871,0.0,0.0
