,CAR,cond,cidade,Área_Total,Área CAR sob TIs,PC CAR sob TIs
53506,PA-1503093-AEFCA4F3832B4F19B5F7695FAF773A0D,"Analisado, em conformidade com a Lei n 12.651/2012",Goianesia do Para,43.544845743410455,43.04278914896018,98.84703554260209
68554,PA-1506807-50AF1B15CE104757ACD2A18B1F125EA8,"Analisado, em conformidade com a Lei n 12.651/2012",Santarem,20.3589819966479,13.498717162449614,66.30349771256822
108,PA-1503044-02A696CE99584064954CBFF5D71203E9,"Analisado, em conformidade com a Lei n 12.651/2012",Floresta do Araguaia,7.476097533948248,0.0,0.0
236693,PA-1501451-6E9938B89BE442B5A8E47C0B1CBFD8FD,"Analisado, em conformidade com a Lei n 12.651/2012",Belterra,0.0084980023880517,0.0,0.0
237508,PA-1506583-58CB6009445C449899C6D9954221DB5A,"Analisado, em conformidade com a Lei n 12.651/2012",Santa Maria das Barreiras,36.67728223592446,0.0,0.0
237114,PA-1506005-AF44DE85970C414C94E6D4BF2D7006A5,"Analisado, em conformidade com a Lei n 12.651/2012",Prainha,14.461151690747643,0.0,0.0
237094,PA-1503606-97BF15352E8F4D9D8A0EBCEA2242F54F,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.8240458226228256,0.0,0.0
237092,PA-1503606-425DC872CD214D7E88E4D2F6705C8980,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.7959461792785673,0.0,0.0
237091,PA-1503606-43DDB4377AEF4F5D8D86650EA466C389,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.5758321287318248,0.0,0.0
236886,PA-1507003-F9F96E675C2840979D2B7F8FB3A67C55,"Analisado, em conformidade com a Lei n 12.651/2012",Santo Antonio do Taua,0.0745803252939775,0.0,0.0
