,CAR,cond,cidade,Área_Total,Área CAR sob UCs,PC CAR sob UCs
63613,PA-1505908-61B278864C51457B9FFE08D28EECDBB8,Aguardando analise,Porto de Moz,12891.66496292514,12891.664928527533,99.99999973317948
232724,PA-1503754-D536E81A27F647C1B50ED28BD27A941B,Aguardando analise,Jacareacanga,7444.211142943003,7444.211116044655,99.9999996386676
232788,PA-1500602-4913B3968F744CC881FD672AEA77718B,Aguardando analise,Altamira,7381.947861285177,7392.298277813793,100.140212539063
2,PA-1506807-5192E004BC54471C814813F0A396613C,Aguardando analise,Santarem,6776.674283432851,6776.674253723279,99.99999956159068
339905,PA-1500602-49B0049759144CD3B7C61F77A86BACEC,Aguardando analise,Altamira,5498.964101564488,5498.525594222802,99.99202563730938
172834,PA-1501451-2DE323F56317468CB81C6729908F9A2B,Aguardando analise,Belterra,5311.934702564021,5224.298240922863,98.35019693297706
58003,PA-1500602-C097B0F01F384AEC9D9374A5856166D1,Aguardando analise,Altamira,4980.795923608035,4980.795923608035,100.0
59106,PA-1505536-CA7C6941C97B49F593ABC4AB667CF0A9,Aguardando analise,Parauapebas,3931.5873517046825,4559.291257111959,115.96566092153878
232722,PA-1505304-BB9F3EB9FBCD498BB2F07BB62EE58B4E,Aguardando analise,Oriximina,4410.963340324744,4412.667588316665,100.03863663921987
59105,PA-1500602-98D287EC22A74A45A431686A88293EF9,Aguardando analise,Altamira,4000.467594821914,4010.8179996173967,100.25872987469964
