,CAR,cond,cidade,Área_Total,Área CAR sob UCs,PC CAR sob UCs
102384,PA-1505304-EDAB44E063444A65B3CBE87C9DFB8DEA,Analisado sem pendencias,Oriximina,2253.0878929549194,1357.0946465985585,60.23265452013646
77874,PA-1507300-032A8E74FEBB42C8AB7AD1DDBFCE95B0,Analisado sem pendencias,Sao Felix do Xingu,28.619175680246027,28.619175680246027,100.0
93922,PA-1503606-18915694F5CF406182B6FE4FA4FF3A10,Analisado sem pendencias,Itaituba,24.719614411466083,24.71961441146609,100.00000000000004
80588,PA-1503606-78F3772164EF4BF1A4E3BF28BA7C6199,Analisado sem pendencias,Itaituba,24.196976671394143,24.196976671394147,100.0
313447,PA-1507300-6789868273BE46B29FDACF880294E021,Analisado sem pendencias,Sao Felix do Xingu,17.09562837621402,17.095628376214023,100.0
160477,PA-1504802-DA45B1CD2EEA4A60B64881D46863083C,Analisado sem pendencias,Monte Alegre,16.654739868210115,16.436311287968422,98.68848999161722
246719,PA-1503606-072ADDEA90744F85A37C5D4767D4EC65,Analisado sem pendencias,Itaituba,16.354334111911246,16.354334111911253,100.00000000000004
337745,PA-1508100-16B7C6586F60466D8F26917626FF6B88,Analisado sem pendencias,Tucurui,15.054804136822067,15.054804136822046,99.99999999999986
306761,PA-1500602-CBA749F839F8469EAEEDED5E24CAF424,Analisado sem pendencias,Altamira,13.65132912950344,13.65132912950344,100.0
167595,PA-1503606-9E04BD8748C64A89AB62ED4941C8FBDE,Analisado sem pendencias,Itaituba,13.4805450139803,13.4805450139803,100.0
