,CAR,cond,cidade,Área_Total,Área CAR sob UCs,PC CAR sob UCs
281489,PA-1507300-FAC50FCAD8354D378DEF179249215C63,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,430.7327354985115,430.2177610820259,99.88044223852884
147802,PA-1507300-F2316D505AB943E38D1C017D4A56D0C7,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,306.23929941375303,306.239299413753,99.99999999999996
172508,PA-1507300-214FF138E0E348E29DF6D4F7B5C613DB,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,223.24546661194768,222.87007369598848,99.83184746294906
140000,PA-1500602-7FBEAFE97B28493E835DD633D103E8CD,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Altamira,71.77128554022617,71.77128554022622,100.00000000000006
153524,PA-1507300-417E99B80CDA46218F760FE398A94002,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,57.95565086372597,57.95565086372597,100.0
344386,PA-1507300-F4F1A7735A3D44359E26BAE2514A35FA,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,50.32993449637949,50.16765567427672,99.67756997157538
327455,PA-1507300-A3FC4D5AA9D841EA9720FC8181BC0108,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,50.30018890911276,48.987612634462245,97.39051422446504
143253,PA-1503804-E720AC1FD82C4F4F85341F2BC8832161,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Jacunda,53.206640774511584,46.49120669542224,87.37857909964812
167042,PA-1505494-5FE32D6F724043ED9F20616D50EF098F,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Palestina do Para,92.69845682137117,37.86508427526268,40.847588593872985
314708,PA-1507300-B3D13B743E1F4479BD811B0A91782BD1,"Analisado, aguardando regularizacao ambiental (Lei n 12.651/2012)",Sao Felix do Xingu,30.23318405305571,30.23318405305571,100.0
