,CAR,cond,cidade,Área_Total,Área CAR sob UCs,PC CAR sob UCs
108,PA-1503044-02A696CE99584064954CBFF5D71203E9,"Analisado, em conformidade com a Lei n 12.651/2012",Floresta do Araguaia,7.476097533948248,0.0,0.0
237737,PA-1506005-3E57977EA01049B49F74846AE65F88AC,"Analisado, em conformidade com a Lei n 12.651/2012",Prainha,9.478800843358432,0.0,0.0
237508,PA-1506583-58CB6009445C449899C6D9954221DB5A,"Analisado, em conformidade com a Lei n 12.651/2012",Santa Maria das Barreiras,36.67728223592446,0.0,0.0
237114,PA-1506005-AF44DE85970C414C94E6D4BF2D7006A5,"Analisado, em conformidade com a Lei n 12.651/2012",Prainha,14.461151690747643,0.0,0.0
237094,PA-1503606-97BF15352E8F4D9D8A0EBCEA2242F54F,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.8240458226228256,0.0,0.0
237092,PA-1503606-425DC872CD214D7E88E4D2F6705C8980,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.7959461792785673,0.0,0.0
237091,PA-1503606-43DDB4377AEF4F5D8D86650EA466C389,"Analisado, em conformidade com a Lei n 12.651/2012",Itaituba,0.5758321287318248,0.0,0.0
236886,PA-1507003-F9F96E675C2840979D2B7F8FB3A67C55,"Analisado, em conformidade com a Lei n 12.651/2012",Santo Antonio do Taua,0.0745803252939775,0.0,0.0
236835,PA-1501451-D94ACA47C9784157AE768A9AFA387256,"Analisado, em conformidade com a Lei n 12.651/2012",Belterra,2.0788911464119386,0.0,0.0
236772,PA-1506807-B14630B6D4E74DA8BD39354F2F53596A,"Analisado, em conformidade com a Lei n 12.651/2012",Santarem,10.7901822549329,0.0,0.0
