,CAR,cond,cidade,Área_Total,Área CAR sob UCs,PC CAR sob UCs
214685,PA-1501808-3EC68E1ED74A4E1FBCE07788BEAB521B,Em analise,Breves,581.128511675321,546.1095813738684,93.9739782857156
157248,PA-1507300-FC136733C09E4DEE9BFDBE8C016B2FE7,Em analise,Sao Felix do Xingu,201.00584622934923,201.00584622934912,99.99999999999994
248355,PA-1505106-5C151729C67C4FFDADCEF73EBC92F10A,Em analise,Obidos,106.05329760681713,95.94059037113296,90.46450467464378
41712,PA-1507300-3CF07CFD5E3D4C5CB1961C69E9384A09,Em analise,Sao Felix do Xingu,88.15564900491007,88.71143131102318,100.63045569102684
50186,PA-1507300-5650E41044D94067AFF035F1703B3660,Em analise,Sao Felix do Xingu,62.21359990093713,62.21359990093713,100.0
294892,PA-1503606-7DEFFA5A01AD4DBF8B77D139EE4265C0,Em analise,Itaituba,56.4944219675165,56.4944219675165,100.0
302721,PA-1507300-A3580237B4664030A88C01C53ECBF667,Em analise,Sao Felix do Xingu,54.29293127613708,54.29293127613708,100.0
77996,PA-1507300-A11509B700264F9B949536A31795D9B1,Em analise,Sao Felix do Xingu,39.9879777686049,38.43886839290966,96.12606222635378
160904,PA-1507300-DAF4B1B717BD4A899481459874E087A7,Em analise,Sao Felix do Xingu,30.87317316828165,30.87317316828165,100.0
238221,PA-1507300-B9C233C02C2E4DC58DC0ED34B168B282,Em analise,Sao Felix do Xingu,27.308346074072503,27.308346074072503,100.0
