,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
962,SM0175000,Assen.,PDS LIBERDADE I (SM0175000),SM0175000,4473.717181030959,4473.717180424158,413,100.0
89,MB0025000,Assen.,PA TUCUMA (MB0025000),MB0025000,3948.2148777479047,3928.276013838872,790,99.495
870,PA0666000,Assen.,PAE ILHA GRANDE DE GURUPA (PA0666000),PA0666000,2988.1574865811817,2985.927173389198,44,99.9254
942,SM0104000,Assen.,PAE LAGO GRANDE (SM0104000),SM0104000,2822.3007747072024,2822.3007746807725,68,100.0
966,SM0146000,Assen.,PDS PARAÍSO (SM0146000),SM0146000,2660.8195916014165,2629.4369740205,244,98.8206
32,AT0101000,Assen.,PDS ADEMIR FREDERICCE (AT0101000),AT0101000,2343.9116915990503,2338.237723334996,140,99.7579
544,PA0081000,Assen.,PA CIDAPAR 1ª PARTE (PA0081000),PA0081000,2304.408863147922,2304.408863147926,161,100.0
880,PA0525000,Assen.,PAE ILHA CHARAPUCU (PA0525000),PA0525000,2017.624592848203,2017.4929560771227,15,99.9935
737,PA0453000,Assen.,PAE ILHA GRANDE DO LAGUNA (PA0453000),PA0453000,1767.759922892715,1767.7599204456826,37,100.0
2,AT0006000,Assen.,PA SURUBIM (AT0006000),AT0006000,2031.6565224615645,1691.052655976642,256,83.2352
