,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
1061,472,Quil.,Cachoeira Porteira (472),472,2253.179946335757,2253.087892954844,1,99.9959
1026,46,Quil.,Erepecuru (46),46,2255.241560389794,2251.9331508182536,53,99.8533
1028,48,Quil.,Trombetas (48),48,1038.1260237706415,993.3793158511928,34,95.6897
1047,344,Quil.,Alto Trombetas II (344),344,2934.094960917042,909.502287522366,3,30.9977
1049,333,Quil.,"Gurupá Mirim, Jocojo, Flexinha, Carrazedo (333)",333,860.2031133081806,852.8291654039778,5,99.1428
1021,360,Quil.,"Abui, Parana do Abui, Tapagem, Sagrado Coração - (360)",360,789.9593537634112,789.9593537634145,4,100.0
1027,47,Quil.,Alto Trombetas I (47),47,577.4384361681513,575.3339442370554,1,99.6355
1099,13,Quil.,"Igarapé Preto, Baixinha, Panpelônia, Teófilo (13)",13,250.9048748872577,248.2312634447761,5,98.9344
1032,42,Quil.,Cabeceiras - TQ Cabeceiras formado pelas comunida* (42),42,177.64878077914202,177.26847830211776,5,99.7859
1104,403,Quil.,"Porto Grande, Mangabeira, São Benedito Viseu (403)",403,172.8239146328628,171.08564025942255,1,98.9942
