,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
1107,1701.0,TIs,Amanayé (1701),1701.0,1630.9278257661508,1545.325327000554,50,94.7513
1123,72601.0,TIs,Ituna/Itatá (restrição de uso) (72601),72601.0,1430.4230684622817,1347.1166698107,271,94.1761
1125,64501.0,TIs,Kapôt Nhinore (64501),64501.0,3593.984022661568,1307.9881384016523,104,36.3938
1119,7601.0,TIs,Cachoeira Seca (7601),7601.0,7338.766573451526,989.8851037655062,188,13.4884
1138,29801.0,TIs,Munduruku (29801),29801.0,24038.70087860841,887.5364581121115,3,3.6921
1136,55101.0,TIs,Maró (55101),55101.0,423.1844494047361,422.602251847214,20,99.8624
1111,3002.0,TIs,Apyterewa (3002),3002.0,7770.121288415809,272.6313803207239,24,3.5087
1139,58001.0,TIs,Munduruku-Taquara (58001),58001.0,253.32425688370975,251.08134152690965,1,99.1146
1154,56701.0,TIs,Sawré Muybu (Pimental) (56701),56701.0,1807.150977503844,225.99675469030555,17,12.5057
1128,68101.0,TIs,Kaxuyana-Tunayana (68101),68101.0,21841.324989951427,210.08993510104537,1,0.9619
