,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
1236,0000.15.1023,UCs,ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ (0000.15.1023),0000.15.1023,45215.96655122876,36303.62206295072,1874,80.2894
1175,0000.00.0047,UCs,ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO (0000.00.0047),0000.00.0047,33869.876252440714,20740.735748186704,158,61.2365
1248,0000.15.1038,UCs,FLORESTA ESTADUAL DO PARU (0000.15.1038),0000.15.1038,36072.63600623711,17708.608925289067,532,49.0915
1249,0000.15.1039,UCs,ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU (0000.15.1039),0000.15.1039,16885.81594105879,14448.829206909695,1730,85.5678
1178,0000.00.0260,UCs,RESERVA EXTRATIVISTA VERDE PARA SEMPRE (0000.00.0260),0000.00.0260,12891.664962110786,12891.664933768789,77,100.0
1219,0000.00.0268,UCs,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS (0000.00.0268),0000.00.0268,20517.084343959305,11678.086736297972,855,56.9188
1209,0000.00.0270,UCs,FLORESTA NACIONAL DO CREPORI (0000.00.0270),0000.00.0270,7444.211142235636,7444.21112319124,15,100.0
1217,0000.00.0258,UCs,RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO (0000.00.0258),0000.00.0258,7391.428478202464,7390.772521883469,49,99.9911
1207,0000.00.0259,UCs,RESERVA EXTRATIVISTA TAPAJÓS-ARAPIUNS (0000.00.0259),0000.00.0259,6776.674282900425,6776.674258467207,8,100.0
1214,0000.00.0266,UCs,FLORESTA NACIONAL DO JAMANXIM (0000.00.0266),0000.00.0266,13112.176817426498,6355.814519675239,359,48.4726
