,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
592,MB0481000,Assen.,PA SANTA CECILIA (MB0481000),MB0481000,9.346329855732089,9.346329440373616,3,100.0
658,PA0165000,Assen.,PA VALE DO BACABA (PA0165000),PA0165000,139.11335988491658,139.11335687281107,3,100.0
672,PA0225000,Assen.,PA CRISTAL (PA0225000),PA0225000,13.846844214768936,13.846843249581408,2,100.0
669,PA0211000,Assen.,PA CALMARIA II (PA0211000),PA0211000,128.70734349368158,128.70734349368146,7,100.0
668,PA0210000,Assen.,PA CALMARIA I (PA0210000),PA0210000,93.00572044074808,93.00571912111442,2,100.0
667,PA0194000,Assen.,PA ÁGUA AZUL (PA0194000),PA0194000,41.2332763533666,41.23327500075014,1,100.0
665,PA0180000,Assen.,PA RIO JABUTI (PA0180000),PA0180000,158.84063958362356,158.84063613706903,4,100.0
662,PA0171000,Assen.,PA ÁGUIA (PA0171000),PA0171000,84.91504037185906,84.91504037185796,16,100.0
661,PA0168000,Assen.,PA CANDIRU (PA0168000),PA0168000,90.76773123611795,90.7677285753438,9,100.0
659,PA0166000,Assen.,PA DEL REY (PA0166000),PA0166000,87.12893184846281,87.12893184846277,8,100.0
