,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
42,0000.00.1810,UCs,RESERVA EXTRATIVISTA RENASCER (0000.00.1810),0000.00.1810,2096.423849838828,2096.4238367007547,15,100.0
11,0000.00.0109,UCs,FLORESTA NACIONAL DE SARACÁ-TAQUERA (0000.00.0109),0000.00.0109,4410.963339975293,4410.963320424216,6,100.0
22,0000.00.0288,UCs,RESERVA EXTRATIVISTA GURUPÁ-MELGAÇO (0000.00.0288),0000.00.0288,1454.787057162535,1454.7870463228044,4,100.0
23,0000.00.0241,UCs,RESERVA EXTRATIVISTA IPAÚ-ANILZINHO (0000.00.0241),0000.00.0241,558.701308905587,558.7013019728354,11,100.0
24,0000.00.0218,UCs,RESERVA DE DESENVOLVIMENTO DE SUSTENTÁVEL DE  ITATUPÃ-BAQUIÁ (0000.00.0218),0000.00.0218,643.932606533852,643.9326045944051,3,100.0
29,0000.00.0244,UCs,RESERVA EXTRATIVISTA MAPUÁ (0000.00.0244),0000.00.0244,936.9882166750856,936.9882104825284,8,100.0
31,0000.00.1635,UCs,RESERVA EXTRATIVISTA RIO XINGU (0000.00.1635),0000.00.1635,3038.932364250531,3038.9323462401467,10,100.0
32,0000.00.0280,UCs,RESERVA EXTRATIVISTA RIO IRIRI (0000.00.0280),0000.00.0280,4000.467594507246,4000.467580895984,11,100.0
34,0000.00.0089,UCs,FLORESTA NACIONAL DE CAXIUANÃ (0000.00.0089),0000.00.0089,3178.6289658301034,3178.6289511634573,16,100.0
39,0000.00.0259,UCs,RESERVA EXTRATIVISTA TAPAJÓS-ARAPIUNS (0000.00.0259),0000.00.0259,6776.674282900425,6776.674254826628,3,100.0
