,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
693,PA0275000,Assen.,PAE SÃO JOÃO BATISTA (PA0275000),PA0275000,4.718579447244177,4.718579413750901,1,100.0
1098,SM0221000,Assen.,PAC MONTE MURIA (SM0221000),SM0221000,48.50408497835284,48.50408497835278,5,100.0
1042,SM0137000,Assen.,PA MAMURU (SM0137000),SM0137000,215.1800519233096,215.1800497145151,15,100.0
1024,SM0109000,Assen.,PA MIRITI (SM0109000),SM0109000,126.60360171840372,126.60360171840377,7,100.0
1020,SM0105000,Assen.,PA MARIPÁ (SM0105000),SM0105000,70.55500350154108,70.55500197382959,2,100.0
1014,SM0073000,Assen.,PDS CUPARI (SM0073000),SM0073000,240.5791696705849,240.5791688494853,13,100.0
1006,SM0047000,Assen.,PA AREIA (SM0047000),SM0047000,199.98493242545368,199.9849324252352,6,100.0
1003,SM0029000,Assen.,PA RIO BONITO (SM0029000),SM0029000,85.99854774005674,85.99854676359828,2,100.0
694,PA0276000,Assen.,PAE NOSSA SENHORA DO LIVRAMENTO (PA0276000),PA0276000,2.074990758177467,2.0749907581774334,1,100.0
802,PA0403000,Assen.,PA GLEBINHA (PA0403000),PA0403000,17.489851240865487,17.489850256374424,1,100.0
