,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
1153,55101.0,TIs,Maró (55101),55101.0,423.1844494047361,422.042769741811,2,99.7302
1180,63901.0,TIs,Tuwa Apekuokawera (63901),63901.0,118.08600922875344,61.30195066887194,3,51.913
1124,1701.0,TIs,Amanayé (1701),1701.0,1630.9278257661508,637.9190868138636,40,39.1139
1140,72601.0,TIs,Ituna/Itatá (restrição de uso) (72601),72601.0,1430.4230684622817,457.2221073074065,49,31.9641
1142,64501.0,TIs,Kapôt Nhinore (64501),64501.0,3593.984022661568,1030.6699024675722,67,28.6776
1172,43201.0,TIs,Sororó (43201),43201.0,260.41492931116494,6.310864070849523,1,2.4234
1171,56701.0,TIs,Sawré Muybu (Pimental) (56701),56701.0,1807.150977503844,42.09338627434847,2,2.3293
1170,73727.0,TIs,Sawré Bap in (Apompu) (73727),73727.0,1491.990630692151,21.29794992061587,6,1.4275
1145,68101.0,TIs,Kaxuyana-Tunayana (68101),68101.0,21841.324989951427,210.08993510104537,1,0.9619
1163,32901.0,TIs,Parakanã (32901),32901.0,3512.445576082813,9.866655162708348,1,0.2809
