,Unnamed: 0,Dataset,Nome,unit_id,Área_Total,Área sobreposta com CAR,CARs na interseção,Percentual sobreposto
30,0215.15.3163,UCs,PARQUE NATURAL MUNICIPAL VEREDAS DOS CARAJÁS (0215.15.3163),0215.15.3163,8.358298387791262,8.358298387791262,2,100.0
66,0000.15.1027,UCs,ÁREA DE PROTEÇÃO AMBIENTAL DA ILHA DO COMBU (0000.15.1027),0000.15.1027,15.01921397826229,14.36705712835636,1,95.6578
101,0000.00.1214,UCs,RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PIONEIRA (0000.00.1214),0000.00.1214,3.9801869987855065,2.9156031178146438,2,73.2529
81,0000.15.1039,UCs,ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU (0000.15.1039),0000.15.1039,16885.81594105879,9602.392764871014,985,56.8666
65,0000.15.1025,UCs,ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO METROLPOLITANA DE BELÉM (0000.15.1025),0000.15.1025,56.43639290467657,28.29533033300162,5,50.1367
64,0000.15.1022,UCs,PARQUE ESTADUAL DO UTINGA (0000.15.1022),0000.15.1022,13.969295867941572,5.785062743043682,1,41.4127
51,0000.00.0268,UCs,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS (0000.00.0268),0000.00.0268,20517.084343959305,6594.4832927002,471,32.1414
62,0000.15.1026,UCs,ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO GERALDO DO ARAGUAIA (0000.15.1026),0000.15.1026,268.3547334963007,79.65073176537854,16,29.6811
68,0000.15.1023,UCs,ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ (0000.15.1023),0000.15.1023,45215.96655122876,11759.182586551904,544,26.0067
46,0000.00.0266,UCs,FLORESTA NACIONAL DO JAMANXIM (0000.00.0266),0000.00.0266,13112.176817426498,3256.5046973840526,180,24.8357
