City,Number of Shapes,Total Overlap Area
Abaetetuba,32,0.08239203545987966
Abaetetuba,32,0.08239203545987966
Abaetetuba,32,0.08239203545987966
Abel Figueiredo,2,0.0026701566676034906
Abel Figueiredo,2,0.0026701566676034906
Abel Figueiredo,2,0.0026701566676034906
Acará,192,0.507039625542814
Acará,192,0.507039625542814
Acará,192,0.507039625542814
Afuá,50,0.5310420429564416
Afuá,50,0.5310420429564416
Afuá,50,0.5310420429564416
Água Azul do Norte,68,0.43410545965624575
Água Azul do Norte,68,0.43410545965624575
Água Azul do Norte,68,0.43410545965624575
Alenquer,190,2.375849119306964
Alenquer,190,2.375849119306964
Alenquer,190,2.375849119306964
Almeirim,886,3.374808874301811
Almeirim,886,3.374808874301811
Almeirim,886,3.374808874301811
Altamira,548,3.361481997680806
Altamira,548,3.361481997680806
Altamira,548,3.361481997680806
Anajás,212,1.7257508654543126
Anajás,212,1.7257508654543126
Anajás,212,1.7257508654543126
Ananindeua,2,0.0062421247945424405
Ananindeua,2,0.0062421247945424405
Ananindeua,2,0.0062421247945424405
Anapu,176,0.8428511951930664
Anapu,176,0.8428511951930664
Anapu,176,0.8428511951930664
Augusto Corrêa,0,0.0
Augusto Corrêa,0,0.0
Augusto Corrêa,0,0.0
Aurora do Pará,18,0.05467373739652423
Aurora do Pará,18,0.05467373739652423
Aurora do Pará,18,0.05467373739652423
Aveiro,122,0.30979853417337666
Aveiro,122,0.30979853417337666
Aveiro,122,0.30979853417337666
Bagre,110,0.9513031159511397
Bagre,110,0.9513031159511397
Bagre,110,0.9513031159511397
Baião,28,0.32874429729401905
Baião,28,0.32874429729401905
Baião,28,0.32874429729401905
Bannach,46,0.20595975364877733
Bannach,46,0.20595975364877733
Bannach,46,0.20595975364877733
Barcarena,4,0.01572275860789492
Barcarena,4,0.01572275860789492
Barcarena,4,0.01572275860789492
Belém,2,0.002384129409546034
Belém,2,0.002384129409546034
Belém,2,0.002384129409546034
Belterra,2,0.0032384375204007904
Belterra,2,0.0032384375204007904
Belterra,2,0.0032384375204007904
Benevides,0,0.0
Benevides,0,0.0
Benevides,0,0.0
Bom Jesus do Tocantins,6,0.063223238266237
Bom Jesus do Tocantins,6,0.063223238266237
Bom Jesus do Tocantins,6,0.063223238266237
Bonito,0,0.0
Bonito,0,0.0
Bonito,0,0.0
Bragança,0,0.0
Bragança,0,0.0
Bragança,0,0.0
Brasil Novo,34,0.9230297469099975
Brasil Novo,34,0.9230297469099975
Brasil Novo,34,0.9230297469099975
Brejo Grande do Araguaia,4,0.008471749089796156
Brejo Grande do Araguaia,4,0.008471749089796156
Brejo Grande do Araguaia,4,0.008471749089796156
Breu Branco,10,0.032193773024166164
Breu Branco,10,0.032193773024166164
Breu Branco,10,0.032193773024166164
Breves,118,1.1870272024575137
Breves,118,1.1870272024575137
Breves,118,1.1870272024575137
Bujaru,6,0.00931671132549121
Bujaru,6,0.00931671132549121
Bujaru,6,0.00931671132549121
Cachoeira do Piriá,18,0.03791430587180627
Cachoeira do Piriá,18,0.03791430587180627
Cachoeira do Piriá,18,0.03791430587180627
Cachoeira do Arari,32,0.1255450169171422
Cachoeira do Arari,32,0.1255450169171422
Cachoeira do Arari,32,0.1255450169171422
Cametá,8,0.06791174250613122
Cametá,8,0.06791174250613122
Cametá,8,0.06791174250613122
Canaã dos Carajás,84,0.3729671926439926
Canaã dos Carajás,84,0.3729671926439926
Canaã dos Carajás,84,0.3729671926439926
Capanema,0,0.0
Capanema,0,0.0
Capanema,0,0.0
Capitão Poço,10,0.01734105131519013
Capitão Poço,10,0.01734105131519013
Capitão Poço,10,0.01734105131519013
Castanhal,2,0.0021316361702473376
Castanhal,2,0.0021316361702473376
Castanhal,2,0.0021316361702473376
Chaves,194,1.0126146586661733
Chaves,194,1.0126146586661733
Chaves,194,1.0126146586661733
Colares,0,0.0
Colares,0,0.0
Colares,0,0.0
Conceição do Araguaia,42,0.08833186509987008
Conceição do Araguaia,42,0.08833186509987008
Conceição do Araguaia,42,0.08833186509987008
Concórdia do Pará,2,0.0020325803858209975
Concórdia do Pará,2,0.0020325803858209975
Concórdia do Pará,2,0.0020325803858209975
Cumaru do Norte,153,0.7396568803364812
Cumaru do Norte,153,0.7396568803364812
Cumaru do Norte,153,0.7396568803364812
Curionópolis,42,0.3279090188761118
Curionópolis,42,0.3279090188761118
Curionópolis,42,0.3279090188761118
Curralinho,50,1.0749963217184932
Curralinho,50,1.0749963217184932
Curralinho,50,1.0749963217184932
Curuá,28,0.13543693336496165
Curuá,28,0.13543693336496165
Curuá,28,0.13543693336496165
Curuçá,0,0.0
Curuçá,0,0.0
Curuçá,0,0.0
Dom Eliseu,30,0.07974991033737759
Dom Eliseu,30,0.07974991033737759
Dom Eliseu,30,0.07974991033737759
Eldorado do Carajás,18,0.08068039138856692
Eldorado do Carajás,18,0.08068039138856692
Eldorado do Carajás,18,0.08068039138856692
Faro,6,0.23602643709748272
Faro,6,0.23602643709748272
Faro,6,0.23602643709748272
Floresta do Araguaia,20,0.045980140479652494
Floresta do Araguaia,20,0.045980140479652494
Floresta do Araguaia,20,0.045980140479652494
Garrafão do Norte,18,0.030571672484559137
Garrafão do Norte,18,0.030571672484559137
Garrafão do Norte,18,0.030571672484559137
Goianésia do Pará,40,0.09033822162931111
Goianésia do Pará,40,0.09033822162931111
Goianésia do Pará,40,0.09033822162931111
Gurupá,42,0.9356790423262721
Gurupá,42,0.9356790423262721
Gurupá,42,0.9356790423262721
Igarapé-Açu,0,0.0
Igarapé-Açu,0,0.0
Igarapé-Açu,0,0.0
Igarapé-Miri,30,0.07442461915113457
Igarapé-Miri,30,0.07442461915113457
Igarapé-Miri,30,0.07442461915113457
Inhangapi,0,0.0
Inhangapi,0,0.0
Inhangapi,0,0.0
Ipixuna do Pará,112,0.35163583149120414
Ipixuna do Pará,112,0.35163583149120414
Ipixuna do Pará,112,0.35163583149120414
Irituia,6,0.007258701978694493
Irituia,6,0.007258701978694493
Irituia,6,0.007258701978694493
Itaituba,252,0.8955563476505668
Itaituba,252,0.8955563476505668
Itaituba,252,0.8955563476505668
Itupiranga,56,0.21038409760252183
Itupiranga,56,0.21038409760252183
Itupiranga,56,0.21038409760252183
Jacareacanga,139,0.8525666092112985
Jacareacanga,139,0.8525666092112985
Jacareacanga,139,0.8525666092112985
Jacundá,0,0.0
Jacundá,0,0.0
Jacundá,0,0.0
Juruti,330,2.356432483168348
Juruti,330,2.356432483168348
Juruti,330,2.356432483168348
Limoeiro do Ajuru,20,0.07640087823394025
Limoeiro do Ajuru,20,0.07640087823394025
Limoeiro do Ajuru,20,0.07640087823394025
Mãe do Rio,0,0.0
Mãe do Rio,0,0.0
Mãe do Rio,0,0.0
Magalhães Barata,0,0.0
Magalhães Barata,0,0.0
Magalhães Barata,0,0.0
Marabá,220,0.8001705839913379
Marabá,220,0.8001705839913379
Marabá,220,0.8001705839913379
Maracanã,0,0.0
Maracanã,0,0.0
Maracanã,0,0.0
Marapanim,0,0.0
Marapanim,0,0.0
Marapanim,0,0.0
Marituba,0,0.0
Marituba,0,0.0
Marituba,0,0.0
Medicilândia,224,1.464983490643625
Medicilândia,224,1.464983490643625
Medicilândia,224,1.464983490643625
Melgaço,80,0.7519138938504922
Melgaço,80,0.7519138938504922
Melgaço,80,0.7519138938504922
Mocajuba,8,0.04960234269928396
Mocajuba,8,0.04960234269928396
Mocajuba,8,0.04960234269928396
Moju,100,0.284009415520566
Moju,100,0.284009415520566
Moju,100,0.284009415520566
Mojuí dos Campos,90,0.9829560153012912
Mojuí dos Campos,90,0.9829560153012912
Mojuí dos Campos,90,0.9829560153012912
Monte Alegre,162,2.364224028947531
Monte Alegre,162,2.364224028947531
Monte Alegre,162,2.364224028947531
Muaná,46,0.5229226004021073
Muaná,46,0.5229226004021073
Muaná,46,0.5229226004021073
Nova Esperança do Piriá,10,0.026762756403149214
Nova Esperança do Piriá,10,0.026762756403149214
Nova Esperança do Piriá,10,0.026762756403149214
Nova Ipixuna,10,0.07553422858428688
Nova Ipixuna,10,0.07553422858428688
Nova Ipixuna,10,0.07553422858428688
Nova Timboteua,0,0.0
Nova Timboteua,0,0.0
Nova Timboteua,0,0.0
Novo Progresso,104,0.2651017410893885
Novo Progresso,104,0.2651017410893885
Novo Progresso,104,0.2651017410893885
Novo Repartimento,78,0.3904665903861243
Novo Repartimento,78,0.3904665903861243
Novo Repartimento,78,0.3904665903861243
Óbidos,174,2.279797317752847
Óbidos,174,2.279797317752847
Óbidos,174,2.279797317752847
Oeiras do Pará,56,0.40046785879862945
Oeiras do Pará,56,0.40046785879862945
Oeiras do Pará,56,0.40046785879862945
Oriximiná,38,2.845233088120349
Oriximiná,38,2.845233088120349
Oriximiná,38,2.845233088120349
Ourém,4,0.004778111295443577
Ourém,4,0.004778111295443577
Ourém,4,0.004778111295443577
Ourilândia do Norte,66,0.907331471389423
Ourilândia do Norte,66,0.907331471389423
Ourilândia do Norte,66,0.907331471389423
Pacajá,114,1.3494265156644811
Pacajá,114,1.3494265156644811
Pacajá,114,1.3494265156644811
Palestina do Pará,4,0.0081278580338613
Palestina do Pará,4,0.0081278580338613
Palestina do Pará,4,0.0081278580338613
Paragominas,172,0.3717866544976751
Paragominas,172,0.3717866544976751
Paragominas,172,0.3717866544976751
Parauapebas,38,0.9657873261395132
Parauapebas,38,0.9657873261395132
Parauapebas,38,0.9657873261395132
Pau D'Arco,14,0.02337014981160057
Pau D'Arco,14,0.02337014981160057
Pau D'Arco,14,0.02337014981160057
Peixe-Boi,0,0.0
Peixe-Boi,0,0.0
Peixe-Boi,0,0.0
Piçarra,24,0.059173621861847873
Piçarra,24,0.059173621861847873
Piçarra,24,0.059173621861847873
Placas,22,0.32287438117714734
Placas,22,0.32287438117714734
Placas,22,0.32287438117714734
Ponta de Pedras,32,0.11914272858429273
Ponta de Pedras,32,0.11914272858429273
Ponta de Pedras,32,0.11914272858429273
Portel,1190,4.316993038884862
Portel,1190,4.316993038884862
Portel,1190,4.316993038884862
Porto de Moz,128,1.139230055102494
Porto de Moz,128,1.139230055102494
Porto de Moz,128,1.139230055102494
Prainha,226,1.261159059016448
Prainha,226,1.261159059016448
Prainha,226,1.261159059016448
Primavera,4,0.006168024376013313
Primavera,4,0.006168024376013313
Primavera,4,0.006168024376013313
Quatipuru,0,0.0
Quatipuru,0,0.0
Quatipuru,0,0.0
Redenção,16,0.04808438343805027
Redenção,16,0.04808438343805027
Redenção,16,0.04808438343805027
Rio Maria,50,0.09319053319461892
Rio Maria,50,0.09319053319461892
Rio Maria,50,0.09319053319461892
Rondon do Pará,38,0.10863947782859176
Rondon do Pará,38,0.10863947782859176
Rondon do Pará,38,0.10863947782859176
Rurópolis,48,0.17644315292856155
Rurópolis,48,0.17644315292856155
Rurópolis,48,0.17644315292856155
Salinópolis,0,0.0
Salinópolis,0,0.0
Salinópolis,0,0.0
Salvaterra,4,0.010050015787770646
Salvaterra,4,0.010050015787770646
Salvaterra,4,0.010050015787770646
Santa Bárbara do Pará,0,0.0
Santa Bárbara do Pará,0,0.0
Santa Bárbara do Pará,0,0.0
Santa Cruz do Arari,38,0.08027976911127462
Santa Cruz do Arari,38,0.08027976911127462
Santa Cruz do Arari,38,0.08027976911127462
Santa Izabel do Pará,4,0.004555369516431679
Santa Izabel do Pará,4,0.004555369516431679
Santa Izabel do Pará,4,0.004555369516431679
Santa Luzia do Pará,4,0.004363526632056812
Santa Luzia do Pará,4,0.004363526632056812
Santa Luzia do Pará,4,0.004363526632056812
Santa Maria das Barreiras,170,0.5640649951494436
Santa Maria das Barreiras,170,0.5640649951494436
Santa Maria das Barreiras,170,0.5640649951494436
Santa Maria do Pará,0,0.0
Santa Maria do Pará,0,0.0
Santa Maria do Pará,0,0.0
