id,uf,name,city,area_ha,VERSION,SOURCE,CATEG_ID,LEVEL_1,LEVEL_3,GEOCODE,LEVEL_2,NAME_STD
AM0013000,AM,PA VILA AMAZÔNIA (AM0013000),PARINTINS,85406.11,1,"INCRA, 2024",63,Brasil,,AM0013000,PA VILA AMAZÔNIA (AM0013000),LEVEL_2
AP0053000,AP,PAE ILHA DE ARUAS (AP0053000),VITORIA DO JARI,5557.11,1,"INCRA, 2024",63,Brasil,,AP0053000,PAE ILHA DE ARUAS (AP0053000),LEVEL_2
AT0006000,PA,PA SURUBIM (AT0006000),MEDICILANDIA,203034.41,1,"INCRA, 2024",63,Brasil,,AT0006000,PA SURUBIM (AT0006000),LEVEL_2
AT0009000,PA,PA ASSURINI (AT0009000),ALTAMIRA,36109.62,1,"INCRA, 2024",63,Brasil,,AT0009000,PA ASSURINI (AT0009000),LEVEL_2
AT0010000,PA,PA RIO DO PEIXE (AT0010000),URUARA,25696.46,1,"INCRA, 2024",63,Brasil,,AT0010000,PA RIO DO PEIXE (AT0010000),LEVEL_2
AT0019000,PA,PA UIRAPURU (AT0019000),URUARA,21968.22,1,"INCRA, 2024",63,Brasil,,AT0019000,PA UIRAPURU (AT0019000),LEVEL_2
AT0020000,PA,PA TUTUÍ SUL (AT0020000),URUARA,20320.88,1,"INCRA, 2024",63,Brasil,,AT0020000,PA TUTUÍ SUL (AT0020000),LEVEL_2
AT0021000,PA,PA GROTÃO DA ONÇA (AT0021000),ANAPU,15824.43,1,"INCRA, 2024",63,Brasil,,AT0021000,PA GROTÃO DA ONÇA (AT0021000),LEVEL_2
AT0022000,PA,PA RIO TRAIRÃO (AT0022000),URUARA,16043.97,1,"INCRA, 2024",63,Brasil,,AT0022000,PA RIO TRAIRÃO (AT0022000),LEVEL_2
AT0023000,PA,PA CANOÉ (AT0023000),SENADOR JOSE PORFIRIO,36477.27,1,"INCRA, 2024",63,Brasil,,AT0023000,PA CANOÉ (AT0023000),LEVEL_2
AT0024000,PA,PA ARARAQUARA (AT0024000),SENADOR JOSE PORFIRIO,13714.17,1,"INCRA, 2024",63,Brasil,,AT0024000,PA ARARAQUARA (AT0024000),LEVEL_2
AT0026000,PA,PA PILÃO POENTE (AT0026000),ANAPU,19972.72,1,"INCRA, 2024",63,Brasil,,AT0026000,PA PILÃO POENTE (AT0026000),LEVEL_2
AT0028000,PA,PA BRASIL NOVO (AT0028000),BRASIL NOVO,7116.93,1,"INCRA, 2024",63,Brasil,,AT0028000,PA BRASIL NOVO (AT0028000),LEVEL_2
AT0036000,PA,PA BOM JARDIM (AT0036000),PACAJA,95051.17,1,"INCRA, 2024",63,Brasil,,AT0036000,PA BOM JARDIM (AT0036000),LEVEL_2
AT0037000,PA,PA RIO ARATAÚ (AT0037000),PACAJA,69129.43,1,"INCRA, 2024",63,Brasil,,AT0037000,PA RIO ARATAÚ (AT0037000),LEVEL_2
AT0039000,PA,PA PILÃO POENTE III (AT0039000),ANAPU,31567.74,1,"INCRA, 2024",63,Brasil,,AT0039000,PA PILÃO POENTE III (AT0039000),LEVEL_2
AT0040000,PA,PA PILÃO POENTE II (AT0040000),ANAPU,83914.9,1,"INCRA, 2024",63,Brasil,,AT0040000,PA PILÃO POENTE II (AT0040000),LEVEL_2
AT0041000,PA,PA ALTO PARÁ (AT0041000),PLACAS,45047.41,1,"INCRA, 2024",63,Brasil,,AT0041000,PA ALTO PARÁ (AT0041000),LEVEL_2
AT0044000,PA,PA PLACAS (AT0044000),PLACAS,28678.44,1,"INCRA, 2024",63,Brasil,,AT0044000,PA PLACAS (AT0044000),LEVEL_2
AT0045000,PA,PA RIO DAS PEDRAS (AT0045000),PLACAS,24148.81,1,"INCRA, 2024",63,Brasil,,AT0045000,PA RIO DAS PEDRAS (AT0045000),LEVEL_2
AT0046000,PA,PA CURUÁ-UNA (AT0046000),PLACAS,17224.89,1,"INCRA, 2024",63,Brasil,,AT0046000,PA CURUÁ-UNA (AT0046000),LEVEL_2
AT0048000,PA,PA IGARAPÉ FLORES (AT0048000),BRASIL NOVO,22126.82,1,"INCRA, 2024",63,Brasil,,AT0048000,PA IGARAPÉ FLORES (AT0048000),LEVEL_2
AT0049000,PA,PA PENETECAUA (AT0049000),BRASIL NOVO,22744.78,1,"INCRA, 2024",63,Brasil,,AT0049000,PA PENETECAUA (AT0049000),LEVEL_2
AT0051000,PA,PA LARANJAL (AT0051000),BRASIL NOVO,12726.03,1,"INCRA, 2024",63,Brasil,,AT0051000,PA LARANJAL (AT0051000),LEVEL_2
AT0058000,PA,PA RESSACA (AT0058000),SENADOR JOSE PORFIRIO,41022.23,1,"INCRA, 2024",63,Brasil,,AT0058000,PA RESSACA (AT0058000),LEVEL_2
AT0059000,PA,PA MORRO DOS ARARAS (AT0059000),ALTAMIRA,16104.92,1,"INCRA, 2024",63,Brasil,,AT0059000,PA MORRO DOS ARARAS (AT0059000),LEVEL_2
AT0060000,PA,PA ITAPUAMA (AT0060000),ALTAMIRA,63539.21,1,"INCRA, 2024",63,Brasil,,AT0060000,PA ITAPUAMA (AT0060000),LEVEL_2
AT0061000,PA,PA JURAUÁ (AT0061000),SENADOR JOSE PORFIRIO,9205.67,1,"INCRA, 2024",63,Brasil,,AT0061000,PA JURAUÁ (AT0061000),LEVEL_2
AT0062000,PA,PA ARAPARI (AT0062000),SENADOR JOSE PORFIRIO,8909.14,1,"INCRA, 2024",63,Brasil,,AT0062000,PA ARAPARI (AT0062000),LEVEL_2
AT0064000,PA,PA TUTUÍ NORTE (AT0064000),URUARA,24558.47,1,"INCRA, 2024",63,Brasil,,AT0064000,PA TUTUÍ NORTE (AT0064000),LEVEL_2
AT0067000,PA,PDS ANAPU I (AT0067000),ANAPU,20421.36,1,"INCRA, 2024",63,Brasil,,AT0067000,PDS ANAPU I (AT0067000),LEVEL_2
AT0070000,PA,PDS VIROLA JATOBÁ (AT0070000),ANAPU,41646.49,1,"INCRA, 2024",63,Brasil,,AT0070000,PDS VIROLA JATOBÁ (AT0070000),LEVEL_2
AT0101000,PA,PDS ADEMIR FREDERICCE (AT0101000),MEDICILANDIA,234307.65,1,"INCRA, 2024",63,Brasil,,AT0101000,PDS ADEMIR FREDERICCE (AT0101000),LEVEL_2
AT0118000,PA,PDS BRASÍLIA (AT0118000),ALTAMIRA,19798.96,1,"INCRA, 2024",63,Brasil,,AT0118000,PDS BRASÍLIA (AT0118000),LEVEL_2
AT0126000,PA,PDS ÁGUA PRETA (AT0126000),PLACAS,24860.14,1,"INCRA, 2024",63,Brasil,,AT0126000,PDS ÁGUA PRETA (AT0126000),LEVEL_2
AT0127000,PA,PDS CASTANHEIRA (AT0127000),PLACAS,25813.94,1,"INCRA, 2024",63,Brasil,,AT0127000,PDS CASTANHEIRA (AT0127000),LEVEL_2
AT0128000,PA,PA RENASCER (AT0128000),PACAJA,8574.71,1,"INCRA, 2024",63,Brasil,,AT0128000,PA RENASCER (AT0128000),LEVEL_2
AT0129000,PA,PA CUPUZAL (AT0129000),PACAJA,11302.22,1,"INCRA, 2024",63,Brasil,,AT0129000,PA CUPUZAL (AT0129000),LEVEL_2
AT0130000,PA,PA TERRA PARA PAZ (AT0130000),PACAJA,63919.09,1,"INCRA, 2024",63,Brasil,,AT0130000,PA TERRA PARA PAZ (AT0130000),LEVEL_2
AT0171000,PA,PA ANAPUZINHO (AT0171000),PACAJA,18139.38,1,"INCRA, 2024",63,Brasil,,AT0171000,PA ANAPUZINHO (AT0171000),LEVEL_2
AT0172000,PA,PDS SANTA CLARA (AT0172000),URUARA,24177.01,1,"INCRA, 2024",63,Brasil,,AT0172000,PDS SANTA CLARA (AT0172000),LEVEL_2
AT0177000,PA,PDS HORIZONTE NOVO (AT0177000),PORTO DE MOZ,22274.73,1,"INCRA, 2024",63,Brasil,,AT0177000,PDS HORIZONTE NOVO (AT0177000),LEVEL_2
AT0181000,PA,PA MACANÃ I (AT0181000),PLACAS,26106.71,1,"INCRA, 2024",63,Brasil,,AT0181000,PA MACANÃ I (AT0181000),LEVEL_2
AT0182000,PA,PA MACANÃ II (AT0182000),PLACAS,31411.03,1,"INCRA, 2024",63,Brasil,,AT0182000,PA MACANÃ II (AT0182000),LEVEL_2
AT0183000,PA,PDS ITATÁ (AT0183000),ALTAMIRA,52405.4,1,"INCRA, 2024",63,Brasil,,AT0183000,PDS ITATÁ (AT0183000),LEVEL_2
AT0208000,PA,PDS ARTHUR FALEIRO (AT0208000),PLACAS,22709.92,1,"INCRA, 2024",63,Brasil,,AT0208000,PDS ARTHUR FALEIRO (AT0208000),LEVEL_2
AT0209000,PA,PDS AVELINO RIBEIRO (AT0209000),PLACAS,21653.24,1,"INCRA, 2024",63,Brasil,,AT0209000,PDS AVELINO RIBEIRO (AT0209000),LEVEL_2
AT0238000,PA,PAC OURO BRANCO I (AT0238000),URUARA,39840.46,1,"INCRA, 2024",63,Brasil,,AT0238000,PAC OURO BRANCO I (AT0238000),LEVEL_2
AT0215000,PA,PDS MÃE MENININHA (AT0215000),ALTAMIRA,12201.75,1,"INCRA, 2024",63,Brasil,,AT0215000,PDS MÃE MENININHA (AT0215000),LEVEL_2
AT0216000,PA,PDS ESPERANÇA (AT0216000),ALTAMIRA,18010.88,1,"INCRA, 2024",63,Brasil,,AT0216000,PDS ESPERANÇA (AT0216000),LEVEL_2
AT0217000,PA,PA ESPERANÇA (AT0217000),ALTAMIRA,14952.25,1,"INCRA, 2024",63,Brasil,,AT0217000,PA ESPERANÇA (AT0217000),LEVEL_2
AT0239000,PA,PAC OURO BRANCO II (AT0239000),URUARA,37077.27,1,"INCRA, 2024",63,Brasil,,AT0239000,PAC OURO BRANCO II (AT0239000),LEVEL_2
AT0246000,PA,PDS IRMÃ DOROTHY (AT0246000),URUARA,30508.49,1,"INCRA, 2024",63,Brasil,,AT0246000,PDS IRMÃ DOROTHY (AT0246000),LEVEL_2
AT0263000,PA,PDS CASTANHEIRA II (AT0263000),SENADOR JOSE PORFIRIO,7447.31,1,"INCRA, 2024",63,Brasil,,AT0263000,PDS CASTANHEIRA II (AT0263000),LEVEL_2
AT0264000,PA,PA MATA PRETA (AT0264000),ANAPU,12189.71,1,"INCRA, 2024",63,Brasil,,AT0264000,PA MATA PRETA (AT0264000),LEVEL_2
AT0266000,PA,PDS NOVA REPUBLICA (AT0266000),URUARA,2946.05,1,"INCRA, 2024",63,Brasil,,AT0266000,PDS NOVA REPUBLICA (AT0266000),LEVEL_2
AT0267000,PA,PA DIVINO PAI ETERNO (AT0267000),URUARA,5318.65,1,"INCRA, 2024",63,Brasil,,AT0267000,PA DIVINO PAI ETERNO (AT0267000),LEVEL_2
AT0268000,PA,PA TERRA NOVA (AT0268000),MEDICILANDIA,1411.52,1,"INCRA, 2024",63,Brasil,,AT0268000,PA TERRA NOVA (AT0268000),LEVEL_2
AT0234000,PA,PA PARAÍSO DO NORTE (AT0234000),MEDICILANDIA,112944.74,1,"INCRA, 2024",63,Brasil,,AT0234000,PA PARAÍSO DO NORTE (AT0234000),LEVEL_2
AT0235000,PA,PAC SÃO SEBASTIÃO DO TUTUÍ (AT0235000),URUARA,39833.88,1,"INCRA, 2024",63,Brasil,,AT0235000,PAC SÃO SEBASTIÃO DO TUTUÍ (AT0235000),LEVEL_2
AT0236000,PA,PAC NOVA UNIÃO (AT0236000),URUARA,31622.06,1,"INCRA, 2024",63,Brasil,,AT0236000,PAC NOVA UNIÃO (AT0236000),LEVEL_2
AT0237000,PA,PDS OURO BRANCO (AT0237000),URUARA,54586.27,1,"INCRA, 2024",63,Brasil,,AT0237000,PDS OURO BRANCO (AT0237000),LEVEL_2
MA0462000,MA,PA GURUPI (MA0462000),ITINGA DO MARANHAO,12469.18,1,"INCRA, 2024",63,Brasil,,MA0462000,PA GURUPI (MA0462000),LEVEL_2
MA0618000,MA,PA VALE DO IPÊ (MA0618000),ITINGA DO MARANHAO,417.23,1,"INCRA, 2024",63,Brasil,,MA0618000,PA VALE DO IPÊ (MA0618000),LEVEL_2
MA1002000,MA,PA FÊNIX (MA1002000),ITINGA DO MARANHAO,9361.92,1,"INCRA, 2024",63,Brasil,,MA1002000,PA FÊNIX (MA1002000),LEVEL_2
MB0001000,PA,PA RIBEIRÃO DE FOGO (MB0001000),REDENCAO,7796.45,1,"INCRA, 2024",63,Brasil,,MB0001000,PA RIBEIRÃO DE FOGO (MB0001000),LEVEL_2
MB0002000,PA,PA CASTANHAL ARARAS (MB0002000),SAO JOAO DO ARAGUAIA,4999.36,1,"INCRA, 2024",63,Brasil,,MB0002000,PA CASTANHAL ARARAS (MB0002000),LEVEL_2
MB0004000,PA,PA TUERE (MB0004000),NOVO REPARTIMENTO,140149.89,1,"INCRA, 2024",63,Brasil,,MB0004000,PA TUERE (MB0004000),LEVEL_2
MB0005000,PA,PA JONCON/3 IRMÃOS (MB0005000),CONCEICAO DO ARAGUAIA,25930.88,1,"INCRA, 2024",63,Brasil,,MB0005000,PA JONCON/3 IRMÃOS (MB0005000),LEVEL_2
MB0006000,PA,PA JACUNDA (MB0006000),JACUNDA,13678.92,1,"INCRA, 2024",63,Brasil,,MB0006000,PA JACUNDA (MB0006000),LEVEL_2
