id,name,area_ha,VERSION,SOURCE,CATEG_ID,LEVEL_1,LEVEL_3,GEOCODE,LEVEL_2,NAME_STD
50,Santa Quitéria e Itacoãzinho (50),652.17,1,"IBGE, 2022",62,Brasil,,50,Santa Quitéria e Itacoãzinho (50),LEVEL_2
51,Bela Aurora (51),2414.77,1,"IBGE, 2022",62,Brasil,,51,Bela Aurora (51),LEVEL_2
53,Abacatal-Aurá (53),574.76,1,"IBGE, 2022",62,Brasil,,53,Abacatal-Aurá (53),LEVEL_2
360,"Abui, Parana do Abui, Tapagem, Sagrado Coração - (360)",79040.37,1,"IBGE, 2022",62,Brasil,,360,"Abui, Parana do Abui, Tapagem, Sagrado Coração - (360)",LEVEL_2
43,Boa Vista (43),1109.54,1,"IBGE, 2022",62,Brasil,,43,Boa Vista (43),LEVEL_2
242,Cacau e Ovos (242),4067.85,1,"IBGE, 2022",62,Brasil,,242,Cacau e Ovos (242),LEVEL_2
44,Pacoval do Alenquer (44),7830.73,1,"IBGE, 2022",62,Brasil,,44,Pacoval do Alenquer (44),LEVEL_2
45,Água Fria (45),572.74,1,"IBGE, 2022",62,Brasil,,45,Água Fria (45),LEVEL_2
46,Erepecuru (46),225668.93,1,"IBGE, 2022",62,Brasil,,46,Erepecuru (46),LEVEL_2
47,Alto Trombetas I (47),57772.31,1,"IBGE, 2022",62,Brasil,,47,Alto Trombetas I (47),LEVEL_2
48,Trombetas (48),103871.24,1,"IBGE, 2022",62,Brasil,,48,Trombetas (48),LEVEL_2
49,Santa Luzia do Tracuateua (49),336.8,1,"IBGE, 2022",62,Brasil,,49,Santa Luzia do Tracuateua (49),LEVEL_2
40,Macapazinho (40),97.77,1,"IBGE, 2022",62,Brasil,,40,Macapazinho (40),LEVEL_2
41,Itaboca-Quatro Bocas e Cacoal (41),446.69,1,"IBGE, 2022",62,Brasil,,41,Itaboca-Quatro Bocas e Cacoal (41),LEVEL_2
42,Cabeceiras - TQ Cabeceiras formado pelas comunida* (42),17770.23,1,"IBGE, 2022",62,Brasil,,42,Cabeceiras - TQ Cabeceiras formado pelas comunida* (42),LEVEL_2
29,"Alto Itacuruçá, Baixo Itacuruçá, Bom Remédio (29)",10211.67,1,"IBGE, 2022",62,Brasil,,29,"Alto Itacuruçá, Baixo Itacuruçá, Bom Remédio (29)",LEVEL_2
32,Laranjituba e África (32),1153.62,1,"IBGE, 2022",62,Brasil,,32,Laranjituba e África (32),LEVEL_2
33,Tambaí-Açú (33),1824.86,1,"IBGE, 2022",62,Brasil,,33,Tambaí-Açú (33),LEVEL_2
34,Santa Maria do Mirindeua (34),1851.45,1,"IBGE, 2022",62,Brasil,,34,Santa Maria do Mirindeua (34),LEVEL_2
35,Gurupá (35),11162.85,1,"IBGE, 2022",62,Brasil,,35,Gurupá (35),LEVEL_2
36,Maria Ribeira (36),2068.52,1,"IBGE, 2022",62,Brasil,,36,Maria Ribeira (36),LEVEL_2
37,Ramal do Piratuba (37),971.73,1,"IBGE, 2022",62,Brasil,,37,Ramal do Piratuba (37),LEVEL_2
38,Santana Axe do Baixo Jambuaçu (38),1539.14,1,"IBGE, 2022",62,Brasil,,38,Santana Axe do Baixo Jambuaçu (38),LEVEL_2
39,Arquinec (39),5792.7,1,"IBGE, 2022",62,Brasil,,39,Arquinec (39),LEVEL_2
340,Tiningu (340),4312.01,1,"IBGE, 2022",62,Brasil,,340,Tiningu (340),LEVEL_2
30,Jacunday (30),1691.13,1,"IBGE, 2022",62,Brasil,,30,Jacunday (30),LEVEL_2
341,Maria Valentina (341),11052.28,1,"IBGE, 2022",62,Brasil,,341,Maria Valentina (341),LEVEL_2
31,São Sebastião (31),942.93,1,"IBGE, 2022",62,Brasil,,31,São Sebastião (31),LEVEL_2
342,Rosário (342),3706.82,1,"IBGE, 2022",62,Brasil,,342,Rosário (342),LEVEL_2
344,Alto Trombetas II (344),293573.07,1,"IBGE, 2022",62,Brasil,,344,Alto Trombetas II (344),LEVEL_2
239,São Judas Tadeu (239),1952.04,1,"IBGE, 2022",62,Brasil,,239,São Judas Tadeu (239),LEVEL_2
333,"Gurupá Mirim, Jocojo, Flexinha, Carrazedo (333)",86058.54,1,"IBGE, 2022",62,Brasil,,333,"Gurupá Mirim, Jocojo, Flexinha, Carrazedo (333)",LEVEL_2
334,Muruteauzinho (334),629.73,1,"IBGE, 2022",62,Brasil,,334,Muruteauzinho (334),LEVEL_2
335,Nossa Senhora da Graça (335),761.83,1,"IBGE, 2022",62,Brasil,,335,Nossa Senhora da Graça (335),LEVEL_2
336,Peruana (336),1945.79,1,"IBGE, 2022",62,Brasil,,336,Peruana (336),LEVEL_2
213,Saracura (213),2986.86,1,"IBGE, 2022",62,Brasil,,213,Saracura (213),LEVEL_2
337,Ariramba (337),12352.42,1,"IBGE, 2022",62,Brasil,,337,Ariramba (337),LEVEL_2
338,Arapucu (338),768.16,1,"IBGE, 2022",62,Brasil,,338,Arapucu (338),LEVEL_2
339,Murumuru (339),1820.48,1,"IBGE, 2022",62,Brasil,,339,Murumuru (339),LEVEL_2
