id,name,area_ha,VERSION,SOURCE,CATEG_ID,LEVEL_1,LEVEL_3,GEOCODE,LEVEL_2,NAME_STD
1001.0,Alto Rio Guamá (1001),283791.11,1,"FUNAI, 2024",61,Brasil,,1001,Alto Rio Guamá (1001),LEVEL_2
1501.0,Alto Turiaçu (1501),529394.17,1,"FUNAI, 2024",61,Brasil,,1501,Alto Turiaçu (1501),LEVEL_2
1701.0,Amanayé (1701),162856.83,1,"FUNAI, 2024",61,Brasil,,1701,Amanayé (1701),LEVEL_2
1801.0,Anambé (1801),8588.12,1,"FUNAI, 2024",61,Brasil,,1801,Anambé (1801),LEVEL_2
2001.0,Andirá-Marau (2001),790573.23,1,"FUNAI, 2024",61,Brasil,,2001,Andirá-Marau (2001),LEVEL_2
68301.0,Apiaká do Pontal e Isolados (68301),982746.44,1,"FUNAI, 2024",61,Brasil,,68301,Apiaká do Pontal e Isolados (68301),LEVEL_2
3002.0,Apyterewa (3002),773996.68,1,"FUNAI, 2024",61,Brasil,,3002,Apyterewa (3002),LEVEL_2
3201.0,Arara (3201),274407.58,1,"FUNAI, 2024",61,Brasil,,3201,Arara (3201),LEVEL_2
60001.0,Arara da Volta Grande do Xingu (60001),25358.46,1,"FUNAI, 2024",61,Brasil,,60001,Arara da Volta Grande do Xingu (60001),LEVEL_2
3801.0,Araweté Igarapé Ipixuna (3801),940214.59,1,"FUNAI, 2024",61,Brasil,,3801,Araweté Igarapé Ipixuna (3801),LEVEL_2
5001.0,Badjonkore (5001),221720.25,1,"FUNAI, 2024",61,Brasil,,5001,Badjonkore (5001),LEVEL_2
58801.0,Barreirinha (58801),2373.24,1,"FUNAI, 2024",61,Brasil,,58801,Barreirinha (58801),LEVEL_2
6101.0,Baú (6101),1538470.64,1,"FUNAI, 2024",61,Brasil,,6101,Baú (6101),LEVEL_2
62501.0,Bragança-Marituba (62501),13510.08,1,"FUNAI, 2024",61,Brasil,,62501,Bragança-Marituba (62501),LEVEL_2
7601.0,Cachoeira Seca (7601),732442.35,1,"FUNAI, 2024",61,Brasil,,7601,Cachoeira Seca (7601),LEVEL_2
59401.0,Cobra Grande (59401),8903.58,1,"FUNAI, 2024",61,Brasil,,59401,Cobra Grande (59401),LEVEL_2
73769.0,Fazenda Mabel (Gavião/Akrãtikatêjê) (73769),2770.48,1,"FUNAI, 2024",61,Brasil,,73769,Fazenda Mabel (Gavião/Akrãtikatêjê) (73769),LEVEL_2
73785.0,Guajanaíra (73785),1368.24,1,"FUNAI, 2024",61,Brasil,,73785,Guajanaíra (73785),LEVEL_2
72601.0,Ituna/Itatá (restrição de uso) (72601),142806.66,1,"FUNAI, 2024",61,Brasil,,72601,Ituna/Itatá (restrição de uso) (72601),LEVEL_2
62001.0,Juruna do Km 17 (62001),2350.59,1,"FUNAI, 2024",61,Brasil,,62001,Juruna do Km 17 (62001),LEVEL_2
64501.0,Kapôt Nhinore (64501),354639.22,1,"FUNAI, 2024",61,Brasil,,64501,Kapôt Nhinore (64501),LEVEL_2
21301.0,Karajá Santana do Araguaia (21301),1454.67,1,"FUNAI, 2024",61,Brasil,,21301,Karajá Santana do Araguaia (21301),LEVEL_2
21501.0,Kararaô (21501),331013.34,1,"FUNAI, 2024",61,Brasil,,21501,Kararaô (21501),LEVEL_2
68101.0,Kaxuyana-Tunayana (68101),2185738.11,1,"FUNAI, 2024",61,Brasil,,68101,Kaxuyana-Tunayana (68101),LEVEL_2
22902.0,Kayabi (22902),1054029.91,1,"FUNAI, 2024",61,Brasil,,22902,Kayabi (22902),LEVEL_2
23001.0,Kayapó (23001),3281214.37,1,"FUNAI, 2024",61,Brasil,,23001,Kayapó (23001),LEVEL_2
23201.0,Koatinemo (23201),388105.29,1,"FUNAI, 2024",61,Brasil,,23201,Koatinemo (23201),LEVEL_2
38902.0,Kuruáya (38902),166621.41,1,"FUNAI, 2024",61,Brasil,,38902,Kuruáya (38902),LEVEL_2
56801.0,Las Casas (56801),21354.08,1,"FUNAI, 2024",61,Brasil,,56801,Las Casas (56801),LEVEL_2
65401.0,Maracaxi (65401),718.07,1,"FUNAI, 2024",61,Brasil,,65401,Maracaxi (65401),LEVEL_2
27101.0,Maranduba (27101),375.21,1,"FUNAI, 2024",61,Brasil,,27101,Maranduba (27101),LEVEL_2
55101.0,Maró (55101),42305.08,1,"FUNAI, 2024",61,Brasil,,55101,Maró (55101),LEVEL_2
28701.0,Menkragnoti (28701),4928849.35,1,"FUNAI, 2024",61,Brasil,,28701,Menkragnoti (28701),LEVEL_2
29801.0,Munduruku (29801),2385978.14,1,"FUNAI, 2024",61,Brasil,,29801,Munduruku (29801),LEVEL_2
58001.0,Munduruku-Taquara (58001),25313.85,1,"FUNAI, 2024",61,Brasil,,58001,Munduruku-Taquara (58001),LEVEL_2
26001.0,Mãe Maria (26001),62808.29,1,"FUNAI, 2024",61,Brasil,,26001,Mãe Maria (26001),LEVEL_2
30501.0,Nhamundá/Mapuera (30501),1049003.28,1,"FUNAI, 2024",61,Brasil,,30501,Nhamundá/Mapuera (30501),LEVEL_2
31101.0,Nova Jacundá (31101),405.38,1,"FUNAI, 2024",61,Brasil,,31101,Nova Jacundá (31101),LEVEL_2
32201.0,Panará (32201),499526.66,1,"FUNAI, 2024",61,Brasil,,32201,Panará (32201),LEVEL_2
32602.0,Paquiçamba (32602),20093.61,1,"FUNAI, 2024",61,Brasil,,32602,Paquiçamba (32602),LEVEL_2
32601.0,Paquiçamba (32601),4136.95,1,"FUNAI, 2024",61,Brasil,,32601,Paquiçamba (32601),LEVEL_2
32901.0,Parakanã (32901),350337.12,1,"FUNAI, 2024",61,Brasil,,32901,Parakanã (32901),LEVEL_2
33701.0,Parque do Tumucumaque (33701),3071556.71,1,"FUNAI, 2024",61,Brasil,,33701,Parque do Tumucumaque (33701),LEVEL_2
37401.0,Praia do Mangue (37401),32.9,1,"FUNAI, 2024",61,Brasil,,37401,Praia do Mangue (37401),LEVEL_2
37301.0,Praia do Índio (37301),29.32,1,"FUNAI, 2024",61,Brasil,,37301,Praia do Índio (37301),LEVEL_2
40201.0,Rio Paru DEste (40201),1194339.57,1,"FUNAI, 2024",61,Brasil,,40201,Rio Paru DEste (40201),LEVEL_2
40901.0,Sai-Cinza (40901),124953.02,1,"FUNAI, 2024",61,Brasil,,40901,Sai-Cinza (40901),LEVEL_2
58901.0,Sarauá (58901),18585.06,1,"FUNAI, 2024",61,Brasil,,58901,Sarauá (58901),LEVEL_2
73727.0,Sawré Bap in (Apompu) (73727),148844.0,1,"FUNAI, 2024",61,Brasil,,73727,Sawré Bap in (Apompu) (73727),LEVEL_2
56701.0,Sawré Muybu (Pimental) (56701),180206.95,1,"FUNAI, 2024",61,Brasil,,56701,Sawré Muybu (Pimental) (56701),LEVEL_2
43201.0,Sororó (43201),25926.51,1,"FUNAI, 2024",61,Brasil,,43201,Sororó (43201),LEVEL_2
44601.0,Tembé (44601),1066.67,1,"FUNAI, 2024",61,Brasil,,44601,Tembé (44601),LEVEL_2
46201.0,Trincheira Bacaja (46201),1652955.13,1,"FUNAI, 2024",61,Brasil,,46201,Trincheira Bacaja (46201),LEVEL_2
46301.0,Trocará (46301),21692.57,1,"FUNAI, 2024",61,Brasil,,46301,Trocará (46301),LEVEL_2
46302.0,Trocará - Doação (46302),14.04,1,"FUNAI, 2024",61,Brasil,,46302,Trocará - Doação (46302),LEVEL_2
46401.0,Trombetas/Mapuera (46401),3970049.81,1,"FUNAI, 2024",61,Brasil,,46401,Trombetas/Mapuera (46401),LEVEL_2
47301.0,Turé/Mariquita (47301),149.21,1,"FUNAI, 2024",61,Brasil,,47301,Turé/Mariquita (47301),LEVEL_2
47401.0,Turé/Mariquita II (47401),592.76,1,"FUNAI, 2024",61,Brasil,,47401,Turé/Mariquita II (47401),LEVEL_2
63901.0,Tuwa Apekuokawera (63901),11756.84,1,"FUNAI, 2024",61,Brasil,,63901,Tuwa Apekuokawera (63901),LEVEL_2
49401.0,Waiãpi (49401),604652.27,1,"FUNAI, 2024",61,Brasil,,49401,Waiãpi (49401),LEVEL_2
50501.0,Xikrin do Rio Catete (50501),437272.3,1,"FUNAI, 2024",61,Brasil,,50501,Xikrin do Rio Catete (50501),LEVEL_2
50601.0,Xipaya (50601),178544.51,1,"FUNAI, 2024",61,Brasil,,50601,Xipaya (50601),LEVEL_2
51001.0,Zoe (51001),668804.05,1,"FUNAI, 2024",61,Brasil,,51001,Zoe (51001),LEVEL_2
