id,name,detail,category,area_ha,VERSION,SOURCE,CATEG_ID,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,GEOCODE,NAME_STD
0000.16.0292,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO IRATAPURU (0000.16.0292),Reserva de Desenvolvimento Sustentável,state_protected_area_sustainable_use,873570.56,1,"MMA, 2024",60,Brasil,state_protected_area_sustainable_use,RDS,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO RIO IRATAPURU (0000.16.0292),0000.16.0292,LEVEL_4
0000.00.0067,ESTAÇÃO ECOLÓGICA DO JARI (0000.00.0067),ESEC,federal_protected_area_integral_protection,231095.88,1,"MMA, 2024",60,Brasil,federal_protected_area_integral_protection,ESEC,ESTAÇÃO ECOLÓGICA DO JARI (0000.00.0067),0000.00.0067,LEVEL_4
0000.00.0273,RESERVA EXTRATIVISTA ARIÓCA PRUANÃ (0000.00.0273),RESEX,federal_protected_area_sustainable_use,83816.99,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA ARIÓCA PRUANÃ (0000.00.0273),0000.00.0273,LEVEL_4
0000.00.0282,RESERVA EXTRATIVISTA TERRA GRANDE-PRACUÚBA (0000.00.0282),RESEX,federal_protected_area_sustainable_use,194863.88,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA TERRA GRANDE-PRACUÚBA (0000.00.0282),0000.00.0282,LEVEL_4
0000.00.0211,RESERVA BIOLÓGICA DO TAPIRAPÉ (0000.00.0211),REBIO,federal_protected_area_integral_protection,99272.33,1,"MMA, 2024",60,Brasil,federal_protected_area_integral_protection,REBIO,RESERVA BIOLÓGICA DO TAPIRAPÉ (0000.00.0211),0000.00.0211,LEVEL_4
0080.15.1960,AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA (0080.15.1960),Área de Relevante Interesse Ecológico,municipality_protected_area_sustainable_use,3.75,1,"MMA, 2024",60,Brasil,municipality_protected_area_sustainable_use,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA (0080.15.1960),0080.15.1960,LEVEL_4
0080.15.2663,AREA DE RELEVANTE INTERESSE ECOLOGICO MUSEU PARQUE SERINGAL (0080.15.2663),Área de Relevante Interesse Ecológico,municipality_protected_area_sustainable_use,1.23,1,"MMA, 2024",60,Brasil,municipality_protected_area_sustainable_use,ARIE,AREA DE RELEVANTE INTERESSE ECOLOGICO MUSEU PARQUE SERINGAL (0080.15.2663),0080.15.2663,LEVEL_4
0000.00.0047,ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO (0000.00.0047),ESEC,federal_protected_area_integral_protection,3373151.82,1,"MMA, 2024",60,Brasil,federal_protected_area_integral_protection,ESEC,ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO (0000.00.0047),0000.00.0047,LEVEL_4
0000.00.0022,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO (0000.00.0022),APA,federal_protected_area_sustainable_use,23283.81,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,APA,ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO (0000.00.0022),0000.00.0022,LEVEL_4
0000.00.0124,FLORESTA NACIONAL DO TAPIRAPÉAQUIRI (0000.00.0124),FLONA,federal_protected_area_sustainable_use,196505.09,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,FLONA,FLORESTA NACIONAL DO TAPIRAPÉAQUIRI (0000.00.0124),0000.00.0124,LEVEL_4
0000.00.0260,RESERVA EXTRATIVISTA VERDE PARA SEMPRE (0000.00.0260),RESEX,federal_protected_area_sustainable_use,1289338.17,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA VERDE PARA SEMPRE (0000.00.0260),0000.00.0260,LEVEL_4
0000.00.0109,FLORESTA NACIONAL DE SARACÁ-TAQUERA (0000.00.0109),FLONA,federal_protected_area_sustainable_use,441284.88,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,FLONA,FLORESTA NACIONAL DE SARACÁ-TAQUERA (0000.00.0109),0000.00.0109,LEVEL_4
0000.00.0250,RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA (0000.00.0250),RESEX,federal_protected_area_sustainable_use,27864.3,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA (0000.00.0250),0000.00.0250,LEVEL_4
0000.00.0249,RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ (0000.00.0249),RESEX,federal_protected_area_sustainable_use,72789.33,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ (0000.00.0249),0000.00.0249,LEVEL_4
0000.00.0227,RESERVA EXTRATIVISTA MARACANÃ (0000.00.0227),RESEX,federal_protected_area_sustainable_use,30179.47,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA MARACANÃ (0000.00.0227),0000.00.0227,LEVEL_4
0000.00.3133,RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO (0000.00.3133),RESEX,federal_protected_area_sustainable_use,26465.07,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO (0000.00.3133),0000.00.3133,LEVEL_4
0000.00.3134,RESERVA EXTRATIVISTA MARINHA CUINARANA (0000.00.3134),RESEX,federal_protected_area_sustainable_use,11036.34,1,"MMA, 2024",60,Brasil,federal_protected_area_sustainable_use,RESEX,RESERVA EXTRATIVISTA MARINHA CUINARANA (0000.00.3134),0000.00.3134,LEVEL_4
0000.15.3481,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CAMPO DAS MANGABAS (0000.15.3481),Reserva de Desenvolvimento Sustentável,state_protected_area_sustainable_use,7053.75,1,"MMA, 2024",60,Brasil,state_protected_area_sustainable_use,RDS,RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL CAMPO DAS MANGABAS (0000.15.3481),0000.15.3481,LEVEL_4
0000.15.3479,REFÚGIO DE VIDA SILVESTRE PADRE SÉRGIO TONETTO (0000.15.3479),Refúgio de Vida Silvestre,state_protected_area_integral_protection,338.88,1,"MMA, 2024",60,Brasil,state_protected_area_integral_protection,REVIS,REFÚGIO DE VIDA SILVESTRE PADRE SÉRGIO TONETTO (0000.15.3479),0000.15.3479,LEVEL_4
