,Unnamed: 0,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.,Área CAR sob Quil.,PC CAR sob Quil.,Área CAR sob TIs,PC CAR sob TIs,Área CAR sob UCs,PC CAR sob UCs
259,PA-1507300-4B180BB350C64B36AD0F37DE7BFB973E,PA-1507300-4B180BB350C64B36AD0F37DE7BFB973E,Aguardando analise,Sao Felix do Xingu,0.0144974496597405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18346,PA-1502764-AEF00622290140268FEF7AEF7318D840,PA-1502764-AEF00622290140268FEF7AEF7318D840,Cancelado por decisao administrativa,Cumaru do Norte,3.94321801845274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56439,PA-1505635-52BC2E1414974B76893AE0312F8EC842,PA-1505635-52BC2E1414974B76893AE0312F8EC842,Aguardando analise,Picarra,0.01114857300201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56441,PA-1500859-AFE012396A2C4DDFBCC834955E696DDF,PA-1500859-AFE012396A2C4DDFBCC834955E696DDF,Em analise,Anapu,9.451934946748387e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56444,PA-1505064-3B50F4185EDC40BF979F514EC4A4642E,PA-1505064-3B50F4185EDC40BF979F514EC4A4642E,"Analisado, aguardando atendimento a notificacao",Novo Repartimento,9.600414552940209e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57480,PA-1502954-15AC10C98E904AC59BF9ADCDA6EF9663,PA-1502954-15AC10C98E904AC59BF9ADCDA6EF9663,"Analisado, aguardando atendimento a notificacao",Eldorado do Carajas,0.0049887656354769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57767,PA-1504208-124F043F3D64440CA24554B7B821275F,PA-1504208-124F043F3D64440CA24554B7B821275F,Aguardando analise,Maraba,0.0015151757060232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59082,PA-1502954-CFC2907E67B048A1A5A35180C67D1CBF,PA-1502954-CFC2907E67B048A1A5A35180C67D1CBF,Aguardando analise,Eldorado do Carajas,0.0004279859505573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59972,PA-1503705-EAF5A5B1E55848EF881D31895BBE9BD0,PA-1503705-EAF5A5B1E55848EF881D31895BBE9BD0,Aguardando analise,Itupiranga,0.0003666037621638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80423,PA-1500859-BB07C737B69546A2941A2852B7457E5E,PA-1500859-BB07C737B69546A2941A2852B7457E5E,Aguardando analise,Anapu,0.0002413449752314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80424,PA-1500859-5DF97CA0C26C4EE093CD60613FAEB5FE,PA-1500859-5DF97CA0C26C4EE093CD60613FAEB5FE,Aguardando analise,Anapu,0.0001990502201347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87476,PA-1505064-E4755F5327D94A2B9D4F33D64F8E6D8C,PA-1505064-E4755F5327D94A2B9D4F33D64F8E6D8C,Aguardando analise,Novo Repartimento,0.013463103687674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95401,PA-1504208-576C3BAB294C4294802D7B6E7C404B4B,PA-1504208-576C3BAB294C4294802D7B6E7C404B4B,Aguardando analise,Maraba,0.0007156746445758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103479,PA-1505502-AF8461EBFDC34A2AA9B01C601C9F3CBC,PA-1505502-AF8461EBFDC34A2AA9B01C601C9F3CBC,"Analisado, aguardando atendimento a notificacao",Paragominas,0.0148231625534646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104526,PA-1500347-4C5AC95370DB484AA8F363A1E7DFF4C7,PA-1500347-4C5AC95370DB484AA8F363A1E7DFF4C7,Cancelado por decisao administrativa,Agua Azul do Norte,0.0280833572443894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105259,PA-1504208-88059A24F049448FB513C1474801364F,PA-1504208-88059A24F049448FB513C1474801364F,Aguardando analise,Maraba,0.0013267312424485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106438,PA-1504208-F4726ABFFBA24518AFB6DEAF71913FE4,PA-1504208-F4726ABFFBA24518AFB6DEAF71913FE4,Aguardando analise,Maraba,0.029950774104692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107779,PA-1507300-76C3A87579C342C1B3D00BCAB497DCE2,PA-1507300-76C3A87579C342C1B3D00BCAB497DCE2,Aguardando analise,Sao Felix do Xingu,0.0014044169606859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109849,PA-1507300-87CCE435633542BD8601522684222CB0,PA-1507300-87CCE435633542BD8601522684222CB0,Aguardando analise,Sao Felix do Xingu,0.0005682243786251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110020,PA-1507458-FA95AE8F20AA40BC94AAD51EF516DA04,PA-1507458-FA95AE8F20AA40BC94AAD51EF516DA04,Aguardando analise,Sao Geraldo do Araguaia,0.0047381713840132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
