,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Abaetetuba,0.13090802105039415,2802,0.12433294396754697,94.97733062490033,0.027986144126326953,0.04097010080909092,46,32.95192690023074,0.011818650258044787,0.02948850663180915,16,23.71737183308887,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Abel Figueiredo,0.050073186158980834,668,0.05356500474219489,106.97342999530255,5.494607920484197e-05,5.63017952233983e-05,2,0.10510928822722114,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Acará,0.3531622947695058,8455,0.4477864491832705,126.79339097496857,0.03731529631621577,0.06063542214792357,42,13.541147182662208,0.003825628358664298,0.006258375320403479,15,1.3976249910684646,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Afuá,0.6774357703375201,837,0.7047011662400668,104.02479424565405,0.3870776726984384,0.586373925295516,74,83.20887681002633,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.05309090667049992,0.1103591976726983,8,15.66042500845001
Água Azul do Norte,0.5818960661506418,3151,0.5470856630918369,94.0177627786552,0.03391974933015463,0.059893398926655066,98,10.94771860555977,0.0,0.0,0,0.0,0.12852079684381884,0.0,0,0.0,0.00273072247897695,0.0029194804588748295,2,0.5336422896508528
Alenquer,1.9212290112517778,5125,1.5989579072408184,83.22578400994563,0.28711152765011466,0.5990972146296807,334,37.46797910793601,0.006364754957672249,0.012359549634710965,2,0.7729752971445482,0.0676339813435495,0.0,0,0.0,0.11652711435802554,0.027319828346133473,11,1.7086020978048702
Almeirim,5.928153816864153,6867,3.18130442051013,53.664336634789976,0.006164280744283769,0.01734687269567382,21,0.5452754720308157,0.0,0.0,0,0.0,0.8599020143246572,0.0,0,0.0,0.0,0.0,0,0.0
Altamira,13.047336278679316,6582,6.369571494621479,48.818941725523025,0.2804892792456493,0.42280186125701846,421,6.63783837914428,0.0,0.0,0,0.0,3.293635633393091,0.14201335098714896,321,2.229558944539146,5.419062494966167,4.923095662599243,986,77.29084549496535
Anajás,0.5617316163873325,1491,0.8580235109027774,152.74616665178803,0.09764959433481346,0.1469511619272072,37,17.12670574406419,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0010550738204044537,0.0017777987772574113,13,0.20719697708363305
Ananindeua,0.015487803156445086,226,0.01254761141362131,81.01608269988732,0.004223297996707207,0.008432002913402322,9,67.20006410342604,0.00045786843159008095,0.0010544390864335885,4,8.403504473281036,0.0,0.0,0,0.0,0.002026106006430782,0.0023920005569878357,11,19.063393646309066
